"compte";"numTrans";"Personne";"Nombre"
"1 MI 146, B2, R24";2629;13;"1"
"1 MI 146, B2, R24";2630;1349;"1"
"1 MI 146, B2, R24";2631;13;"1"
"1 MI 146, B2, R24";2639;1352;"1"
"1 MI 146, B2, R24";2640;1159;"1"
"1 MI 146, B2, R24";2640;1190;"1"
"1 MI 146, B2, R24";2640;1353;"1"
"1 MI 146, B2, R24";2640;1354;"1"
"1 MI 146, B2, R24";2641;83;"1"
"1 MI 146, B2, R24";2642;83;"1"
"1 MI 146, B2, R24";2643;1356;"1"
"1 MI 146, B2, R24";2644;83;"1"
"1 MI 146, B2, R24";2645;83;"1"
"1 MI 146, B2, R24";2646;83;"1"
"1 MI 146, B2, R24";2647;1357;"1"
"1 MI 146, B2, R24";2647;1358;"1"
"1 MI 146, B2, R24";2648;1359;"1"
"1 MI 146, B2, R24";2649;1224;"1"
"1 MI 146, B2, R24";2650;569;"1"
"1 MI 146, B2, R24";2651;1360;"1"
"1 MI 146, B2, R24";2653;1361;"1"
"1 MI 146, B2, R24";2653;1362;"1"
"1 MI 146, B2, R24";2655;4;"1"
"1 MI 146, B2, R24";2656;1208;"1"
"1 MI 146, B2, R24";2657;1120;"1"
"1 MI 146, B2, R24";2657;1364;"1"
"1 MI 146, B2, R24";2658;1010;"1"
"1 MI 146, B2, R24";2659;1365;"plusieurs"
"1 MI 146, B2, R24";2661;248;"3"
"1 MI 146, B2, R24";2662;1031;"1"
"1 MI 146, B2, R24";2663;4;"1"
"1 MI 146, B2, R24";2664;1208;"1"
"1 MI 146, B2, R24";2665;4;"1"
"1 MI 146, B2, R24";2666;4;"1"
"1 MI 146, B2, R24";2667;1367;"1"
"1 MI 146, B2, R24";2668;1367;"1"
"1 MI 146, B2, R24";2669;1157;"1"
"1 MI 146, B2, R24";2670;4;"1"
"1 MI 146, B2, R24";2671;316;"4"
"1 MI 146, B2, R24";2672;4;"1"
"1 MI 146, B2, R24";2672;1084;"1"
"1 MI 146, B2, R24";2673;1367;"1"
"1 MI 146, B2, R24";2674;1368;"1"
"1 MI 146, B2, R24";2675;1369;"1"
"1 MI 146, B2, R24";2676;1370;"1"
"1 MI 146, B2, R24";2676;1371;"1"
"1 MI 146, B2, R24";2676;1372;"1"
"1 MI 146, B2, R24";2678;1275;"1"
"1 MI 146, B2, R24";2679;1157;"1"
"1 MI 146, B2, R24";2680;13;"1"
"1 MI 146, B2, R24";2681;1373;"1"
"1 MI 146, B2, R24";2682;4;"1"
"1 MI 146, B2, R24";2683;4;"1"
"1 MI 146, B2, R24";2684;1374;"1"
"1 MI 146, B2, R24";2684;1375;"1"
"1 MI 146, B2, R24";2684;1376;"1"
"1 MI 146, B2, R24";2684;1377;"1"
"1 MI 146, B2, R24";2685;83;"1"
"1 MI 146, B2, R24";2686;13;"1"
"1 MI 146, B2, R24";2687;4;"1"
"1 MI 146, B2, R24";2687;1201;"1"
"1 MI 146, B2, R24";2688;4;"1"
"1 MI 146, B2, R24";2689;4;"1"
"1 MI 146, B2, R24";2690;4;"1"
"1 MI 146, B2, R24";2692;4;"1"
"1 MI 146, B2, R24";2694;872;"1"
"1 MI 146, B2, R24";2694;1379;"1"
"1 MI 146, B2, R24";2695;1157;"1"
"1 MI 146, B2, R24";2696;951;"7"
"1 MI 146, B2, R24";2697;13;"1"
"1 MI 146, B2, R24";2698;4;"1"
"1 MI 146, B2, R24";2699;4;"1"
"1 MI 146, B2, R24";2700;1381;"1"
"1 MI 146, B2, R24";2701;4;"1"
