"compteFab";"numFab";"IdFab";"compteMP";"numMP";"IdMP";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"usage"
"1 MI 146, B2, R24";2630;1570;"1 MI 146, B2, R24";2630;2499;"longueur";8,00;"aune";;;
"1 MI 146, B2, R24";2630;1570;"1 MI 146, B2, R24";2630;2500;"pelleterie";1,00;"penne";;;
"1 MI 146, B2, R24";2639;1571;"1 MI 146, B2, R24";2639;2507;"pelleterie";1,00;"penne";;;
"1 MI 146, B2, R24";2648;1573;"1 MI 146, B2, R24";2648;2517;"pelleterie";3,00;"penne";;;"garnir"
"1 MI 146, B2, R24";2649;1574;"1 MI 146, B2, R24";2649;2518;"pelleterie";;"penne";;;
"1 MI 146, B2, R24";2649;1575;"1 MI 146, B2, R24";2649;2518;"pelleterie";2,00;"penne";;;
"1 MI 146, B2, R24";2654;1577;"1 MI 146, B2, R24";2654;2520;"longueur";12,00;"aune";;;
"1 MI 146, B2, R24";2655;1578;"1 MI 146, B2, R24";2655;2521;"longueur";4,00;"aune";;;
"1 MI 146, B2, R24";2656;1579;"1 MI 146, B2, R24";2656;2522;"pelleterie";1,00;"penne";;;
"1 MI 146, B2, R24";2690;1585;"1 MI 146, B2, R24";2690;2545;"longueur";;"aune";;;
"1 MI 146, B2, R24";2692;1586;"1 MI 146, B2, R24";2692;2546;"pelleterie";1,00;"penne";;;"doublure"
"1 MI 146, B2, R24";2718;1590;"1 MI 146, B2, R24";2718;2562;"unité";15,00;"douzaine";;;"doublure"
"1 MI 146, B2, R24";2718;1590;"1 MI 146, B2, R24";2718;2563;"pelleterie";;"penne";;;"doublure"
"1 MI 146, B2, R24";2720;1591;"1 MI 146, B2, R24";2720;2564;"longueur";3,50;"aune";;;
"1 MI 146, B2, R24";2727;1593;"1 MI 146, B2, R24";2727;2570;"pelleterie";340,00;"ventre";;;
"1 MI 146, B2, R24";2728;1594;"1 MI 146, B2, R24";2728;2571;"longueur";12,00;"aune des grandes";;;
"1 MI 146, B2, R24";2730;1595;"1 MI 146, B2, R24";2730;2573;"longueur";;"aune";;;"devise ?"
"1 MI 146, B2, R24";2730;1595;"1 MI 146, B2, R24";2730;2574;"longueur";;"aune";;;"devise ?"
"1 MI 146, B2, R24";2738;1597;"1 MI 146, B2, R24";2738;2582;"unité";30,00;"douzaine";;;"doublure"
"1 MI 146, B2, R24";2740;1598;"1 MI 146, B2, R24";2740;2584;"longueur";2,00;"aune";;;
"1 MI 146, B2, R24";2741;1599;"1 MI 146, B2, R24";2741;2585;"longueur";;"aune";;;
"1 MI 146, B2, R24";2745;1601;"1 MI 146, B2, R24";2745;2589;"longueur";;"aune";;;
"1 MI 146, B2, R24";2745;1602;"1 MI 146, B2, R24";2745;2589;"longueur";;"aune";;;
"1 MI 146, B3, R31";4550;2650;"1 MI 146, B3, R31";4550;4480;"longueur";10,00;"aune";;;
"1 MI 146, B3, R32";4467;2561;"1 MI 146, B3, R32";4467;4370;"longueur";;"aune";;;
"1 MI 146, B3, R32";4467;2562;"1 MI 146, B3, R32";4467;4370;"longueur";;"aune";;;
"1 MI 146, B3, R32";4468;2563;"1 MI 146, B3, R32";4468;4371;"longueur";2,25;"aune";;;
"1 MI 146, B3, R32";4468;2564;"1 MI 146, B3, R32";4468;4372;"longueur";1,50;"aune";;;
"1 MI 146, B3, R32";4469;2565;"1 MI 146, B3, R32";4469;4373;"longueur";;"aune";;;
"1 MI 146, B3, R32";4469;2566;"1 MI 146, B3, R32";4469;4373;"longueur";;"aune";;;
"1 MI 146, B3, R32";4470;2567;"1 MI 146, B3, R32";4470;4374;"longueur";;"aune";;;
"1 MI 146, B3, R32";4470;2568;"1 MI 146, B3, R32";4470;4374;"longueur";;"aune";;;
"1 MI 146, B3, R32";4470;2569;"1 MI 146, B3, R32";4470;4374;"longueur";;"aune";;;
"1 MI 146, B3, R32";4471;2570;"1 MI 146, B3, R32";4471;4375;"longueur";;"aune";;;
