"Parure";"Materiaux";"TypeMesure";"Quantite";"Unite";"provenance_mesure";"Conversion";"Materiaux_Achete";"usage"
41;55;"longueur";;;;;0;
93;111;"longueur";;;;;0;
102;116;"longueur";;"aune";;;0;
103;117;"longueur";;;;;0;
104;118;"longueur";;"aune";;;0;
114;119;"longueur";;"aune";;;0;
122;124;"longueur";;"aune";;;0;
123;125;"longueur";;"aune";;;0;
124;128;"longueur";;"aune";;;0;
125;130;"longueur";;"aune";;;0;
127;132;"longueur";;"aune";;;0;
128;134;"longueur";;"aune";;;0;
129;135;"longueur";;"aune";;;0;
133;136;"longueur";;"aune";;;0;
134;137;"longueur";;"aune";;;0;
135;138;"longueur";;"aune";;;0;
136;139;"longueur";;"aune";;;0;
138;140;"longueur";;"aune";;;0;
141;142;"longueur";;"aune";;;0;
146;148;"longueur";;"aune";;;0;
162;168;"longueur";;"aune";;;0;
163;169;;;;;;0;
165;175;"longueur";;"aune";;;0;"carreaux"
165;176;"longueur";;"aune";;;0;"carreaux"
166;177;"longueur";;"aune";;;0;
171;180;"longueur";;"aune";;;0;
177;187;"longueur";;"aune";;;0;
189;190;"longueur";;"aune";;;0;
207;209;"longueur";;"aune";;;0;
267;260;"longueur";;"aune";;;0;
268;261;"longueur";;"aune";;;0;
269;262;"longueur";;"aune";;;0;
311;305;"longueur";;"aune";;;0;
312;306;"longueur";;"aune";;;0;
338;324;"longueur";;"aune";;;0;
339;325;"longueur";;"aune";;;0;
340;326;"longueur";;"aune";;;0;
341;327;"longueur";;"aune";;;0;
342;328;"longueur";;"aune";;;0;
369;360;"longueur";;"aune";;;0;
467;465;"longueur";;"aune";;;0;
469;470;"longueur";;"aune";;;0;
470;469;"longueur";;"aune";;;0;
471;471;"longueur";;"aune";;;0;
473;478;"longueur";;"aune";;;0;
480;483;"longueur";;"aune";;;0;
481;484;"longueur";;"aune";;;0;
484;485;"longueur";;"aune";;;0;
492;496;"longueur";;"aune";;;0;
493;497;"longueur";;"aune";;;0;
494;498;"longueur";;"aune";;;0;
499;499;"longueur";;"aune";;;0;
500;500;"longueur";;"aune";;;0;
501;501;"longueur";;"aune";;;0;
502;502;"longueur";;"aune";;;0;
520;531;"longueur";;"aune";;;0;
522;533;"longueur";;"aune";;;0;
524;534;"longueur";;"aune";;;0;
525;535;"longueur";;"aune";;;0;
530;545;"longueur";;"aune";;;0;
533;547;"longueur";;"aune";;;0;
534;548;"longueur";;"aune";;;0;
591;588;"longueur";;"aune";;;0;
603;595;"longueur";;"aune";;;0;
603;596;"longueur";;"aune";;;0;
603;597;"longueur";;"aune";;;0;
612;606;"longueur";;"aune";;;0;
617;607;"longueur";;"aune";;;0;
619;608;"longueur";;"aune";;;0;
620;609;"longueur";;"aune";;;0;
621;610;"longueur";;"aune";;;0;
637;630;"longueur";;"aune";;;0;
662;652;"longueur";;"aune";;;0;
687;680;"longueur";;"aune";;;0;
687;681;"longueur";;"aune";;;0;
696;693;"longueur";;"aune";;;0;
726;715;"longueur";;"aune";;;0;
730;719;"longueur";;"aune";;;0;
731;720;"longueur";;"aune";;;0;
740;727;"longueur";;"aune";;;0;
746;738;"longueur";;"aune";;;0;
769;772;"longueur";;"aune";;;0;
801;840;"longueur";;"aune";;;0;
896;970;"longueur";;"aune";;;0;
963;1163;"longueur";;"aune";;;0;
965;1165;"longueur";;"aune";;;0;
973;1173;"longueur";;"aune";;;0;
977;1178;"longueur";;"aune";;;0;
978;1179;"longueur";;"aune";;;0;
983;1183;"longueur";;"aune";;;0;
992;1187;"longueur";;"aune";;;0;
1017;1229;"longueur";;"aune";;;0;
1030;1234;"longueur";;"aune";;;0;
1044;1272;"longueur";;"aune";;;0;
1064;1292;"longueur";;"aune";;;0;
1065;1293;"longueur";;"aune";;;0;
1066;1294;"longueur";;"aune";;;0;
1067;1295;"longueur";;"aune";;;0;
1071;1296;"longueur";;"aune";;;0;
1072;1297;"longueur";;"aune";;;0;
1076;1300;"longueur";;"aune";;;0;
1077;1299;"longueur";;"aune";;;0;
1078;1298;"longueur";;"aune";;;0;
1097;1315;"longueur";;"aune";;;0;
1098;1316;"longueur";;"aune";;;0;
1105;1319;"longueur";;"aune";;;0;
1106;1320;"longueur";;"aune";;;0;
1107;1321;"longueur";;"aune";;;0;
1110;1322;"longueur";;"aune";;;0;
1111;1323;"longueur";;"aune";;;0;
1112;1324;"longueur";;"aune";;;0;
1113;1325;"longueur";;"aune";;;0;
1114;1326;"longueur";;"aune";;;0;
1115;1327;"longueur";;"aune";;;0;
1116;1328;"longueur";;"aune";;;0;
1117;1329;"longueur";;"aune";;;0;
1118;1330;"longueur";;"aune";;;0;
1145;1344;"longueur";;"aune";;;0;
1147;1348;"longueur";;"aune";;;0;
1147;1349;"longueur";;"aune";;;0;
1158;1364;"longueur";;"aune";;;0;
1159;1365;"longueur";;"aune";;;0;
1160;1366;"longueur";;"aune";;;0;
1161;1367;"longueur";;"aune";;;0;
1164;1369;"longueur";;"aune";;;0;
1165;1370;"longueur";;"aune";;;0;
1166;1371;"longueur";;"aune";;;0;
1167;1372;"longueur";3,00;"pièce";;;0;
1172;1373;"longueur";;"aune";;;0;
1175;1374;"longueur";;"aune";;;0;
1176;1375;"longueur";5,00;"sarge";;;0;
1177;1376;"longueur";1,00;"sarge";;;0;
1179;1377;"longueur";36,00;"aune";;;0;
1180;1381;"longueur";;"aune";;;0;
1181;1382;"longueur";;"aune";;;0;
1183;1385;"longueur";;"aune";;;0;
