"compte";"numTrans";"idTravaille"
"1 MI 146, B2, R24";2629;812
"1 MI 146, B2, R24";2629;814
"1 MI 146, B2, R24";2629;815
"1 MI 146, B2, R24";2629;816
"1 MI 146, B2, R24";2629;817
"1 MI 146, B2, R24";2629;818
"1 MI 146, B2, R24";2629;819
"1 MI 146, B2, R24";2629;820
"1 MI 146, B2, R24";2629;821
"1 MI 146, B2, R24";2652;823
"1 MI 146, B2, R24";2656;825
"1 MI 146, B2, R24";2663;825
"1 MI 146, B2, R24";2669;825
"1 MI 146, B2, R24";2673;825
"1 MI 146, B2, R24";2674;825
"1 MI 146, B2, R24";2675;825
"1 MI 146, B2, R24";2693;827
"1 MI 146, B2, R24";2704;829
"1 MI 146, B2, R24";2715;831
"1 MI 146, B2, R24";2730;833
"1 MI 146, B2, R24";2733;835
"1 MI 146, B2, R24";2733;836
"1 MI 146, B2, R24";2740;838
"1 MI 146, B2, R24";2741;838
"1 MI 146, B2, R24";2742;838
"1 MI 146, B2, R24";2743;838
"1 MI 146, B2, R24";2744;838
"1 MI 146, B2, R24";2745;838
"1 MI 146, B2, R24";2746;838
"1 MI 146, B2, R24";2747;838
"1 MI 146, B2, R24";2748;838
"1 MI 146, B2, R24";2749;838
"1 MI 146, B2, R24";2750;838
"1 MI 146, B2, R24";2751;838
"1 MI 146, B2, R24";2752;838
"1 MI 146, B2, R24";2753;838
"1 MI 146, B2, R24";2760;840
"1 MI 146, B2, R24";2761;840
"1 MI 146, B2, R24";2764;842
"1 MI 146, B2, R24";2769;844
"1 MI 146, B3, R32";4480;1160
"1 MI 146, B3, R32";4481;1164
"1 MI 146, B3, R32";4482;1162
"1 MI 146, B3, R32";4483;1166
"1 MI 146, B3, R32";4484;1168
"1 MI 146, B3, R32";4492;1170
"1 MI 146, B3, R32";4497;1172
"1 MI 146, B3, R32";4497;1174
"1 MI 146, B3, R32";4498;1172
"1 MI 146, B3, R32";4498;1174
"1 MI 146, B3, R32";4499;1172
"1 MI 146, B3, R32";4499;1174
"1 MI 146, B3, R32";4500;1172
"1 MI 146, B3, R32";4500;1174
"1 MI 146, B3, R32";4501;1172
"1 MI 146, B3, R32";4501;1174
"1 MI 146, B3, R32";4502;1172
"1 MI 146, B3, R32";4502;1174
