"compte";"numTrans";"Personne";"Expression"
"1 MI 146, B2, R24";2631;1350;"implicite"
"1 MI 146, B2, R24";2632;812;"implicite"
"1 MI 146, B2, R24";2633;1351;"implicite"
"1 MI 146, B2, R24";2634;1351;"implicite"
"1 MI 146, B2, R24";2635;1351;"implicite"
"1 MI 146, B2, R24";2636;1351;"implicite"
"1 MI 146, B2, R24";2637;1351;"implicite"
"1 MI 146, B2, R24";2641;258;"implicite"
"1 MI 146, B2, R24";2665;1366;"implicite"
"1 MI 146, B2, R24";2670;258;"implicite"
"1 MI 146, B2, R24";2680;258;"implicite"
"1 MI 146, B2, R24";2691;812;"implicite"
"1 MI 146, B2, R24";2697;812;"implicite"
"1 MI 146, B2, R24";2698;1380;"implicite"
"1 MI 146, B2, R24";2699;812;"implicite"
"1 MI 146, B2, R24";2706;622;"implicite"
"1 MI 146, B2, R24";2707;622;"implicite"
"1 MI 146, B2, R24";2739;1;"implicite"
"1 MI 146, B2, R24";2756;1;"implicite"
"1 MI 146, B2, R24";2757;812;"mercier"
"1 MI 146, B2, R24";2760;1;"implicite"
"1 MI 146, B2, R24";2763;812;"mercier"
"1 MI 146, B2, R24";2765;966;"implicite"
"1 MI 146, B2, R24";2770;1317;"implicite"
"1 MI 146, B3, R32";4472;33;"couturier"
"1 MI 146, B3, R32";4473;1366;"implicite"
"1 MI 146, B3, R32";4488;1672;"implicite"
"1 MI 146, B3, R32";4489;8;"implicite"
"1 MI 146, B3, R32";4490;63;"implicite"
"1 MI 146, B3, R32";4507;63;"implicite"
"1 MI 146, B3, R32";4508;1366;"implicite"
"1 MI 146, B3, R32";4513;61;"pelletier"
"1 MI 146, B3, R32";4524;305;"implicite"
"1 MI 146, B3, R32";4529;63;"implicite"
"1 MI 146, B3, R32";4537;1906;"implicite"
"1 MI 146, B3, R32";4538;8;"implicite"
"1 MI 146, B3, R32";4548;1659;"pelletier"
"1 MI 146, B3, R32";4549;335;"implicite"
"1 MI 146, B3, R32";4549;676;"implicite"
"1 MI 146, B3, R33";4570;63;"implicite"
"1 MI 146, B3, R33";4571;8;"implicite"
"1 MI 146, B3, R33";4572;8;"implicite"
"1 MI 146, B3, R33";4573;8;"implicite"
"1 MI 146, B3, R33";4574;1914;"implicite"
"1 MI 146, B3, R33";4577;61;"pelletier"
"1 MI 146, B3, R33";4578;101;"pelletier"
"1 MI 146, B3, R33";4580;61;"pelletier"
"1 MI 146, B3, R33";4604;49;"mercier"
"1 MI 146, r. 28";2786;61;"pellicier"
"1 MI 146, r. 28";2821;1421;"implicite"
"1 MI 146, r. 28";2832;61;"pellicier"
"1 MI 146, r. 28";2833;61;"pellicier"
"1 MI 146, r. 28";2834;61;"pellicier"
"1 MI 146, r. 28";2836;61;"pellicier"
"1 MI 146, r. 28";2837;245;"pellicier"
"1 MI 146, r. 29";2888;1461;"implicite"
"1 MI 146, r. 29";2890;1366;"implicite"
"1 MI 146, r. 29";2891;1366;"implicite"
