"Id";"Type";"Famille";"Nom";"Couleur";"CaracCouleur";"CaracFacture";"Ville";"Region"
32;"E";"laine";"sarge";"rouge";;;;
33;"M";"NA";"tresse";;;;;
34;"M";"NA";"fil";;;;;
35;"M";"NA";"tresse";;;;;
36;"M";"NA";"fil";;;;;
37;"E";"toile";"toile";;;"à envelopper";;
38;"M";"NA";"tresse";"vert";;;;
39;"E";"laine";"drap";;;;;
40;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
41;"E";"laine";"vert";"vert";;;"Louvier";"Normandie"
42;"E";"laine";"vert";"vert";;;"Montréal";"Languedoc"
43;"E";"laine";"drap";;;;;
44;"E";"laine";"drap";;;;;
45;"E";"laine";"drap";;;;;
46;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
47;"E";"laine";"vert";"vert";;;"Montivilliers";"Normandie"
48;"E";"laine";"vert";"vert";;;"Rouen";"Normandie"
49;"E";"laine";"vert";"vert";;;"Fanjeaux";"Languedoc"
50;"E";"laine";"vert";"vert";;;"Rouen";"Normandie"
51;"E";"laine";"vert";"vert";;;"Rouen";"Normandie"
52;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
53;"E";"laine";"vert";"vert";;;"Rouen";"Normandie"
54;"E";"laine";"marbré";;;;"Andelain";"Champagne"
55;"E";"mélangé";"futaine";;;"neuve";;
56;"E";"toile";"toile";;;;"Reims";"Champagne"
57;"M";"soie";"soie";;;;;
58;"M";"NA";"fil";;;;;
59;"M";"NA";"coton";;;;;
60;"E";"toile";"toile";;;;;
61;"E";"laine";"vert";"vert";;;;"Brabant"
62;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
63;"E";"laine";"vert";"vert";;;"Abbeville";"Normandie"
64;"E";"laine";"blanc";"blanc";;;"Saint-Loup";"Bourgogne"
65;"E";"laine";"vert";"vert";;;"Louvier";"Normandie"
66;"E";"laine";"vert";"vert";;;"Abbeville";"Normandie"
67;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
68;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
69;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
70;"E";"laine";"noir";"noir";;;"Saint-Trond";"Brabant"
71;"E";"laine";"pers";"pers";"escur";;"Bernay";"Normandie"
72;"E";"laine";"rouge";"rouge";;;"Abbeville";"Normandie"
73;"E";"laine";"blanc";"blanc";;;"Saint-Loup";"Bourgogne"
74;"E";"laine";"sarge";"noir";;;;
75;"M";"soie";"soie";;;;;
76;"E";"toile";"toile";;;;;
77;"M";"NA";"fil";;;;;
78;"M";"NA";"coton";;;;;
79;"E";"laine";"vert";"vert";;;;
80;"E";"laine";"vert";"vert";;;;
81;"E";"laine";"rouge";"rouge";;;"Abbeville";"Normandie"
82;"E";"laine";"blanc";"blanc";;;"Evreux";"Normandie"
83;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
84;"E";"laine";"vert";"vert";;;"Rouen";"Normandie"
85;"E";"laine";"drap";;;;;
86;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
87;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
88;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
89;"E";"laine";"drap";;;;;
90;"E";"toile";"toile";;;;"Reims";"Champagne"
91;"E";"toile";"toile";;;"lin";;
92;"M";"NA";"fil";;;;;
93;"M";"soie";"soie";;;;;
94;"M";"NA";"coton";;;;;
95;"M";"NA";"estoffis";;;;;
96;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
97;"E";"laine";"blanc";"blanc";;;"Evreux";"Normandie"
98;"E";"laine";"blanc";"blanc";;;;"Brabant"
99;"E";"laine";"blanc";"blanc";;;"Bruxelles";"Brabant"
100;"E";"laine";"yraigne";;;;"Verwicq";"Flandres"
101;"E";"laine";"pers";"pers";"encre";;"Bayeux";"Normandie"
102;"E";"laine";"marbré";;;;"Bernay";"Normandie"
103;"P";"NA";"chamoix";;;"prête";;
104;"P";"NA";"chamoix";;;"crue";;
105;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
106;"E";"toile";"toile";;;;"Reims";"Champagne"
107;"E";"toile";"toile";"vert";;;;
108;"M";"soie";"soie";"vert";;;;
109;"M";"soie";"bourre";"blanc";;;;
110;"M";"NA";"coton";;;;;
111;"E";"soie";"velours";"vert";;;;
112;"E";"laine";"vert";"vert";;;"Bruxelles";"Brabant"
