"Id";"Type";"Nature";"Caracteristique"
642;"extérieur";"houpelande";"double"
643;"tête";"chaperon";"double"
644;"sous vêtement";"chausses";
645;"extérieur";"houpelande";
646;"sous vêtement";"chausses";
647;"tête";"chaperon";
648;"extérieur";"mantel";
649;"autre";"cordon à sceller";
650;"autre";"emballage";
651;"autre";"cordon à sceller";
652;"intérieur";"houpelande";"à lever de nuit"
653;"ajusté";"gipe";
654;"intérieur";"robe";
655;"autre";"emballage";
656;"religieux";"aube";
657;"religieux";"amict";
658;"religieux";"corporal";
659;"religieux";"inconnue";
660;"mobilier";"couverture d'autel";
661;"sous vêtement";"chausses";
662;"intérieur";"veste";
663;"intérieur";"robe";
664;"intérieur";"robe";
665;"extérieur";"mantel";
666;"militaire";"pavillon";
667;"parure";"aiguillette";"de jacque"
668;"militaire";"pavillon";
669;"militaire";"tente";
670;"autre";"emballage";
671;"militaire";"pavillon";
672;"cheval";"mangeoir";
673;"autre";"sac d'emballage";
674;"intérieur";"robe";
675;"parure";"tresse";"à jacque"
676;"parure";"tissu";"à aubergeon"
677;"militaire";"étoffe de bacinet";
678;"militaire";"pavillon";
679;"parure";"tissu";"à aubergeon"
680;"ajusté";"étoffe de jacque";
681;"tête";"chaperon";"double à bacinet"
682;"militaire";"étoffe de bacinet";
683;"militaire";"étandard";
684;"extérieur";"sac";
685;"extérieur";"mantel";
686;"sous vêtement";"chausses";
687;"ajusté";"jaque";
688;"intérieur";"cotte ardie";
689;"mobilier";"chambre";"moutons et bergers"
690;"militaire";"pavillon";
691;"militaire";"pavillon";
692;"intérieur";"robe";
693;"extérieur";"houpelande";
694;"mobilier";"linteamenta";
695;"extérieur";"houpelande";"brodée"
696;"extérieur";"houpelande";
697;"extérieur";"houpelande";
698;"parure";"manche";
699;"tête";"chaperon";
700;"parure";"tissu";
701;"doublure";"chausses";
702;"autre";"emballage";
703;"sous vêtement";"chausses";
704;"parure";"rivet";
705;"parure";"bouton";
706;"extérieur";"sac";"grand"
707;"doublure";"cornemuse";
708;"intérieur";"robe";
709;"intérieur";"robe";
710;"intérieur";"robe";
711;"intérieur";"robe";
712;"ajusté";"gipon";
713;"ajusté";"gipon";"petit"
714;"ajusté";"gipon";
715;"ajusté";"gipon";
716;"extérieur";"houpelande";
