"Id";"Monnaie";"Livres";"Sous";"Deniers";"Florins";"Gros";"sous_florin";"denier_florin";"MonnaieOr";"Conversion"
22989;"Florin duc. au.";;;;1;;;;;
22990;"g. t. p. p.";;;14;;;;;;
22991;"franc or";;;;1;;;;;
22992;"Gros tournois";;;15;;;;;;
22993;"fort";;8;;;;;;;
22994;"g. t. p. p.";;;12;;;;;;
22995;"Florin d'or petit poids";;;;1;;;;;
22996;"g. t. p. p.";;;12;;;;;;
22997;"florin d'or b. p.";;;;;;;1;;
22998;"g. t. p. p.";;;12,5;;;;;;
22999;"florin d'or b. p. vet.";;;;1;;;;;
23000;"g. t. p. p.";;;13,5;;;;;;
23001;"Florin duc. au.";;;;1;;;;;
23002;"g. t. p. p.";;;14;;;;;;
23003;"franc or";;;;1;;;;;
23004;"g. t. p. p.";;;15;;;;;;
23005;"Florin d'or petit poids";;;;1;;;;;
23006;"g. t. p. p.";;;12;;;;;;
23007;"monnaie nouvelle du comte";;12;;;;;;;
23008;"Florin d'or petit poids";;;;1;;;;;
23009;"genevois vieux";;10;8;;;;;;
23010;"Florin d'or petit poids";;;;1;;;;;
23011;"fort esc.";;8;;;;;;;
23012;"g. t. p. p.";;;12;;;;;;
23013;"g. t. p. p.";;;12,5;;;;;;
23014;"florin d'or b. p.";;;;1;;;;;
23015;"g. t. p. p.";;;13,5;;;;;;
23016;"florin d'or b. p. vet.";;;;1;;;;;
23017;"Ducat";;;;1;;;;;
23018;"g. t. p. p.";;;14;;;;;;
23019;"franc or";;;;1;;;;;
23020;"g. t. p. p.";;;15;;;;;;
23021;"écus";;;;1;;;;;
23022;"g. t. p. p.";;;18;;;;;;
23023;"g. t. p. p.";;;12;;;;;;
23024;"Florin d'or petit poids";;;;;;;12;;
23025;"monnaie nouvelle du comte";;12;;;;;;;
23026;"Florin d'or petit poids";;;;1;;;;;
23027;"lausanois";;12;;;;;;;
23028;"Florin d'or petit poids";;;;1;;;;;
23029;"genevois vieux";;12;;;;;;;
23030;"g. t. p. p.";;;13,5;;;;;;
23031;"fort";;8;;;;;;;
23032;"Florin d'or petit poids";;;;1;;;;;
23033;"florin d'or b. p.";;;;1;;;;;
23034;"g. t. p. p.";;;12,5;;;;;;
23035;"florin d'or b. p. vet.";;;;1;;;;;
23036;"g. t. p. p.";;;13,5;;;;;;
23037;"florin d'or b. p. vet.";;;;1;;;;;
23038;"g. t. p. p.";;;14;;;;;;
23039;"franc or";;;;1;;;;;
23040;"g. t. p. p.";;;15;;;;;;
23041;"franc or reg";;;;1;;;;;
23042;"g. t. p. p.";;;16;;;;;;
23043;"Ducat";;;;1;;;;;
23044;"g. t. p. p.";;;16;;;;;;
23045;"viennois";;1;;;;;;;
23046;"g. t. p. p.";;;23;;;;;;
23047;"florin d'or b. p. vet.";;;;1;;;;;
23048;"g. t. p. p.";;;12,5;;;;;;
23049;"Ducat";;;;1;;;;;
23050;"g. t. p. p.";;;14;;;;;;
23051;"franc or";;;;1;;;;;
23052;"Gros tournois";;;15;;;;;;
23053;"écus";;;;1;;;;;
23054;"g. t. p. p.";;;18;;;;;;
23055;"franc or";;;;1;;;;;
23056;"g. t. p. p.";;;16;;;;;;
23057;"viennois esp.";;32;;;;;;;
23058;"Florin d'or petit poids";;;;1;;;;;
23059;"Parisis";;16;;;;;;;
23060;"franc or reg";;;;1;;;;;
23061;"g. t. p. p.";;;12,5;;;;;;
23062;"florin d'or b. p.";;;;1;;;;;
23063;"franc or";;;;1;;;;;
23064;"g. t. p. p.";;;15;;;;;;
23065;"franc or";;;;1;;;;;
23066;"g. t. p. p.";;;16;;;;;;
23067;"monnoie vieille";;20;;;;;;;
23068;"g. t. p. p.";;;16;;;;;;
23069;"monnoie vieille";;22;6;;;;;;
23070;"g. t. p. p.";;;18;;;;;;
23071;"monnoie vieille";;21;;;;;;;
23072;"g. t. p. p.";;;18;;;;;;
23073;"monnoie vieille";;20;;;;;;;
23074;"g. t. p. p.";;;18;;;;;;
23075;"Parisis";;16;;;;;;;
23076;"franc or reg";;;;;;;;;
23077;"g. t. p. p.";;;12,5;;;;;;
23078;"florin d'or b. p.";;;;;;;;;
23079;"g. t. p. p.";;;14;;;;;;
23080;"florin d'or b. p. vet.";;;;1;;;;;
23081;"franc or reg";;;;1;;;;;
23082;"g. t. p. p.";;;16;;;;;;
23083;"franc or reg";;;;1;;;;;
