"pdox"," ""cw"""
"agnillis","Agneau"
"ambros.","Ambrosaine"
"asten.","Astensi"
"Ascen.","Astensi"
"Bonne Monnaie","Bonne monnaie"
"Ducat","Ducat"
"ducat de Genes","Ducat de Gênes"
"écus","Écu"
"Florentin","Florentin"
"florin b. p. orangie","Florin bon poids orange"
"florin d'or","Florin d'or"
"florin d'or b. p.","Florin d'or bon poids"
"florin d'or b. p. vet.","Florin d'or bon poids vieux"
"Florin d'or petit poids","Florin d'or petit poids"
"Florin de Genes","Florin de Gênes"
"florin reg.","Florin du Roi"
"Florin duc. au.","Florin ducat d'or"
"Florin gros","Florin gros"
"fort","Fort"
"fort esc.","Fort à l'écu"
"franc or","Franc or"
"franc or reg","Franc or du roi"
"genevois","Genevois"
"Genevois blanc","Genevois blanc"
"genevois vieux","Genevois vieux"
"gênois d'or","Génois d'or"
"Gros","Gros"
"gros curs","Gros courant"
"gros de genes","Gros de Gênes"
"Gros tournois","Gros tournois"
"g. t. p. p.","Gros tournois petit poids"
"impériale","Impériale"
"inconnue","inconnue"
"lausanois","Lausannois"
"maurissien","Maurissien"
"monete","Monnaie"
"monnaie nouvelle du comte","Monnaie nouvelle du comte"
"monnoie vieille","Monnaie vielle"
"Parisis","Parisis"
"petit tournois","Tournois petit"
"viennois","Viennois"
"viennois esc.","Viennois à l'écu"
"viennois esp.","Viennois à l'éperon"
"viennois aug.","Viennois Aug"
"viennois de Lyon","viennois de Lyon"
"r",
"lyonnais","lionnais"
"viennois courant","viennois courant"
"inconnue","inconnu"
"petit tournois","petit tournois"
"lyonnais","lyonnais"
"tournois","tournois"
"florin d'or de France","florin d'or de france"
"sterling","sterling"
"petit tournois bon","petit tournois bon"
"viennois de Savoie","viennois de savoie"
"viennois courant de Savoie","viennois courant de savoie"
"impérial","impérial"
"viennois courant de la vallée de Suze","viennois courant de la vallée de Suze"
"viennois d'Aoste","viennois d'aoste"
"fort blanc","fort blanc"
"florin d'or de Florence","florin d'or de florence"
"florin d'or de Florence","florin d'or florence"
"viennois du prince","viennois du prince"
"monnaie du prince","monnaie du prince"
"tournois","tournous"
"florin d'or b. p.","florin bon poids"
"franc or bon poids","franc or bon poids"
