"compte";"numTrans";"Id";"Quantite";"Parure";"prix_unitaire";"prix_total";"date_achat"
"1 MI 146, B2, R24";2631;519;1;2040;;;28/4/1363 00:00:00
"1 MI 146, B2, R24";2631;520;1;2041;;;28/4/1363 00:00:00
"1 MI 146, B2, R24";2631;521;1;2042;;;28/4/1363 00:00:00
"1 MI 146, B2, R24";2631;522;;2043;;;28/4/1363 00:00:00
"1 MI 146, B2, R24";2633;523;2;2044;;;17/6/1363 00:00:00
"1 MI 146, B2, R24";2639;524;1;;;;17/7/1363 00:00:00
"1 MI 146, B2, R24";2650;525;1;2050;;;5/3/1363 00:00:00
"1 MI 146, B2, R24";2651;526;1;2051;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2660;527;1;2059;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2661;528;3;2060;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2661;529;3;2061;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2661;530;3;2062;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2661;531;6;2063;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2668;532;1;2066;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2671;533;4;2067;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2676;534;3;2068;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2678;535;1;2069;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2679;536;1;2070;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2679;537;1;2071;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2679;538;1;2072;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2681;539;1;2073;;;24/3/1363 00:00:00
"1 MI 146, B2, R24";2684;540;4;2074;4512;;6/5/1363 00:00:00
"1 MI 146, B2, R24";2687;541;2;2075;;4516;8/1/1364 00:00:00
"1 MI 146, B2, R24";2688;542;1;2076;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2688;543;1;2077;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2691;544;2;2079;;4521;8/1/1364 00:00:00
"1 MI 146, B2, R24";2694;545;2;2081;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2694;546;2;2082;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2696;547;7;2083;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2699;548;1;2084;;;8/1/1364 00:00:00
"1 MI 146, B2, R24";2699;549;1;2085;;;8/1/1364 00:00:00
