"IdChange";"Prix1";"Prix2";"compte"
9;22881;22882;"1MI146, B2, R17"
10;22883;22884;"1MI146, B2, R17"
11;22885;22886;"1MI146, B2, R17"
12;22887;22888;"1MI146, B2, R18"
13;22889;22890;"1MI146, B2, R18"
14;22891;22892;"1MI146, B2, R19"
15;22893;22894;"1MI146, B2, R19"
16;22895;22896;"1MI146, B2, R. 21"
17;22897;22898;"1MI146, B2, R. 21"
18;22899;22900;"1MI146, B2, R. 21"
19;22901;22902;"1MI146, B2, R. 21"
20;22903;22904;"1 MI 146, B2, R24"
21;22905;22906;"1 MI 146, B2, R24"
22;22907;22908;"1 MI 146, B2, R24"
23;22909;22910;"1 MI 146, B2, R24"
24;22911;22912;"1 MI 146, B2, R24"
25;22913;22914;"1 MI 146, B2, R24"
26;22915;22916;"1 MI 146, B2, R24"
27;22917;22918;"1 MI 146, r. 28"
28;22919;22920;"1 MI 146, r. 28"
29;22921;22922;"1 MI 146, r. 28"
30;22923;22924;"1 MI 146, r. 28"
31;22925;22926;"1 MI 146, r. 29"
32;22927;22928;"1 MI 146, r. 29"
33;22929;22930;"1 MI 146, r. 30"
34;22931;22932;"1 MI 146, r. 30"
35;22933;22934;"1 MI 146, r. 30"
36;22935;22936;"1 MI 146, r. 30"
37;22937;22938;"1 MI 146, B3, R32"
38;22939;22940;"1 MI 146, B3, R32"
39;22941;22942;"1 MI 146, B3, R32"
40;22943;22944;"1 MI 146, B3, R32"
41;22945;22946;"1 MI 146, B3, R32"
42;22947;22948;"1 MI 146, B3, R33"
43;22949;22950;"1 MI 146, B3, R33"
44;22951;22952;"1 MI 146, B3, R33"
45;22953;22954;"1 MI 146, B3, R33"
46;22955;22956;"1 MI 146, B3, R33"
47;22957;22958;"1 MI 146, B3, R33"
48;22959;22960;"1 MI 146, B3, R33"
49;22961;22962;"1 MI 146, B3, R33"
50;22963;22964;"1 MI 146, B3, R33"
51;22965;22966;"1MI90,r. 3,34"
52;22967;22968;"1MI90,r. 3,34"
53;22969;22970;"1MI90,r. 3,34"
54;22971;22972;"1MI90,r. 3,34"
55;22973;22974;"1MI90,r. 3,34"
56;22975;22976;"1MI90,r. 3,34"
57;22977;22978;"1MI90,r. 3,34"
58;22979;22980;"1MI90,r. 3,34"
59;22981;22982;"1 MI 146, r. 4, R37"
60;22983;22984;"1 MI 146, r. 4, R37"
61;22985;22986;"1 MI 146, r. 4, R37"
