"Compte";"Personne"
"7 MI 3,  r. 21, r. 22, R61";3380
"7 MI 3,  r. 13, R52";3261
"7 MI 3,  r. 17 et r. 18, R57";3380
"1 MI 146, B3, R33";2
"1 MI 146, r. 30";2
"1 MI 146, r. 4, R37";2167
"1MI 90, r. 4, R38";2014
"1MI146, B2, R. 21";2
"1MI146, B2, R. 22";2
"1MI146, B2, R. 23";2
"1MI146, B2, R17";810
"1MI146, B2, R18";810
"1MI146, B2, R19";810
"1MI29, R4,56";820
"1MI29, R4,58";820
"1MI29, R4,60";816
"1MI29, R4,61";816
"1MI29, R4et R5,62";333
"1MI33,  r.4, 25";333
"1MI33, r. 3 et r.4, 24";333
"1MI33, r. 3, 23";333
"1MI33, r. 6 et r.7, 27";333
"1MI33, r. 7 et r.8, 28";333
"1MI33, r.8 et r. 9, 30";333
"1MI33, r.8, 29";333
"1MI33, R2,16";1034
"1MI33, R2,17";1021
"1MI33, R2,18";876
"7 MI 3,  r. 11 et r. 12, R50";3261
"7 MI 3,  r. 11, R49 bis";2367
"7 MI 3,  r. 11, R49 ter";2367
"7 MI 3,  r. 14, R53";3261
"7 MI 3,  r. 15 et r. 16, R55";3261
"7 MI 3,  r. 18 et r. 19, R59";3380
"7 MI 3,  r. 20, R60";3380
"7 MI 3,  r. 23, R63";733
"7 MI 3,  r. 24, R64";3380
"7 MI 3,  r. 25 et r. 26, R65";4287
"7 MI 3,  r. 26 et r. 27, R66";4287
"7 MI 3,  r. 29 et r. 30, R68";4287
"7 MI 3,  r. 31 et r. 32, R69";3380
"7 MI 3, r. 32, R70";3380
"7 MI 3, r. 33 et 34, R71";3380
"7 MI 3, r. 35, R72";4290
"7 MI 3, r. 36, R73";4290
"7 MI 3, r. 4, r. 5, R40";2014
"7 MI 3, r. 6 et r. 7, R43";71
"7 MI 3, r. 9 et r. 10, R46";2052
"AST, inv38,m1,12.2";88
"AST, inv38,m2,14";88
"AST, inv38,m2,15";972
"AST, inv38,m2,15";1088
"AST, inv38,m2,17 (2)";98
"AST, inv38,m3,21";206
"AST, inv38,m3,23";2089
"1 MI 146, B2, R24";2
"1 MI 146, B2, R25";1073
"1 MI 146, B3, R32";2
"1 MI 146, r. 28";2
"1 MI 146, r. 29";2
"1 MI 146, r. 4, R36";1
"1 MI 146, r. 4, R37";2
"1MI 90, r. 5, R37 (269)";2167
"1MI146, B1";802
"1MI146, B2, R. 20";810
"1MI29, r.5, 67";1923
"1MI29, r.6, r.7, 69";731
"1MI29, r.6, r.7, 69";732
"1MI29, r.7, 70";5
"1MI29, R4,55.1";850
"1MI29, R4,55.2";851
"1MI29, R4,56";851
"1MI29, R5,63";333
"1MI29, R5,64";1514
"1MI29, R5,65";149
"1MI29, R5,66";149
"1MI29, R5,70";149
"1MI33,  r.5, 26";333
"1MI33, r. 11, 32";333
"1MI33, r. 3, 22";333
"1MI33, r.12 et r.13, 34";532
"1MI33, r. 9, 31";333
"1MI33, r. 11 et r. 12, 33";532
"7 MI 3,  r. 16 et r. 17, R56";3261
"7 MI 3, r. 10 et r. 11, R48";2052
"7 MI 3, r. 36, R74";4290
"7 MI 3, r. 6, R42";71
"7 MI 3, r. 9, R45";71
"7 MI 3, r. 4, r. 5, R39";2014
"AST, inv38,m1,13";88
"AST, inv38,m2,16 (1)";1674
"AST, inv38,m2,16 (2)";1674
"AST, inv38,m2,17 (1)";80
"AST, inv38,m2,17 (3)";98
"AST, inv38,m2,19 (1)";40
"AST, inv38,m2,19 (2)";40
"AST, inv38,m2,19 (3)";40
"AST, inv38,m3,20 (2)";2079
"AST, inv38,m3,21";2082
"1MI33, R2,21";333
"1 MI 146, B3, R31";2
"1MI29, R4,57.26";2417
"1MI90, r. 4, 35";1
"1MI90,r. 3,34";1
"7 MI 3,  r. 11, R49";2367
"7 MI 3,  r. 23, R62";3380
"AST, inv38,m 4,24";2082
"AST, inv38,m1,12.1";88
"AST, inv38,m3,20 (1)";2079
"AST, inv38,m3,22";2082
