"Ville";"Region";"Remarques"
"Allemagne";"Allemagne";
"Berne";"Allemagne";
"Cologne";"Allemagne";
"Constance";"Allemagne";
"Angleterre";"Angleterre";
"Londres";"Angleterre";
"Avignon";"Avignonais";
"Roman";"Avignonais";
"Lierre";"Belgique";
"Bourges";"Berry";
"Chartres";"Berry";
"Saint-Amour";"Bourgnogne";"Saint-Amour.nord de Coligny-le-Vieil nord de Bour-en-Bresse"
"Chalon-sur-Saône";"Bourgogne";
"Dijon";"Bourgogne";
"Mâcon";"Bourgogne";
"Saint-Loup";"Bourgogne";"saint-Loup ou Saint-Lô en Normandie"
"Saint-Loup";"Normandie";"ou bourgogne?"
"Bruxelles";"Brabant";
"Hal";"Brabant";
"Hérentals";"Brabant";"Harentaux"
"Huy";"Brabant";
"Liège";"Brabant";
"Louvain";"Brabant";
"Malines";"Brabant";
"Saint-Trond";"Brabant";
"Vilvord";"Brabant";
"Thuine";"Branbant";"Thume"
"Ambronay";"Bresse";
"Bourg-en -Bresse";"Bresse";
"Châtillon";"bresse";"en Dombes"
"Montluel";"Bresse";"entre Amberieux et Lyon"
"Pont-d'Ain";"Bresse";
"Andelain";"Champagne";"ou andely ou Dandelie. Les Andelys en normandie ou Andelain dans l'Aisne prés de Laon. Vermandois ou Champagne"
"Aubertans";"champagne";"Auberton. Aubertans (70 D4) Haute-Saône, Aubertin (64 B6) Pyrénée-Atlantique."
"Châlons-sur-Marne";"Champagne";
"Epinal";"Champagne";
"Marles";"Champagne";"Marles dans l'Aisne prés de Laon"
"Mont-Cornet";"Champagne";"Mont-Cornet dans l'aisne."
"Provins";"Champagne";
"Reims";"Champagne";
"Sens";"Champagne";
"Suippes";"Champagne";"Soppes, Spollee, soupe"
"Hesdin";"comté de Hesdin";
"Dinant";"comté de Namur";"Dinan en Normandie ou Dinant dans le comté de Namur"
"Clostre";"Dauphiné";"Claustre ou Clostre peut être Clastre prés de Laon. Sud de Saint-Quentin, droite d'Arrassud de la Somme. Vermandois Champagne.
Plus probablement Clostre prés de Mens au sud de grenoble dans le dauphiné"
