"Id";"identite";"Nom";"Surnom";"Diminutif";"Occupation";"Titre";"Sexe";"VilleDomicile";"VilleOrigine";"Remarques";"Rattachement";"MaJ_occupations"
1;"André Belletruche";"André Belletruche";;;"Inconnue";;"M";"Chambéry";"Chambéry";"rend le compte de trésorerie au nom de Pierre Gerbais";;1
2;"Pierre Gerbais";"Pierre Gerbais";;;"Inconnue";"citoyen";"M";"Belley";;;;1
3;"Pierre Coisson";"Pierre Coisson";;;"Inconnue";"brodeur";"M";"Chambéry";;;"7";1
4;"6";"Amédée VI ";;;"Inconnue";"comte";"M";;;;;0
5;"Pierre Voisin";"Pierre Voisin";;;"Inconnue";"secrétaire";"M";;;;"6";1
6;"Johan Soumas";"Johan Soumas";;;"Inconnue";;"M";;;;;1
7;"Michel Mugnier";"Michel Mugnier";"le grand";;"Inconnue";;"M";"Chambéry";;;;1
8;"Guy Vionet";"Guy Vionet";;;"Inconnue";"mercier";"M";"Chambéry";;;;1
9;"Ogier";"Ogier";;;"Inconnue";"Chambrier comtesse";"M";;;;;1
10;"Pierre de Bellioci";"Pierre de Bellioci";;;"Inconnue";"Chambrier";"M";;;;"Bonne de Bourbon";1
11;"Cuisine";;;;"Inconnue";;"M";;;;;0
12;"Johanno Champeaux";"Johanno Champeaux";;;"Inconnue";"valet de chambre";"M";;;;;1
13;"Bonne de Bourbon";" Bonne de Bourbon";;;"Inconnue";"comtesse";"F";;;;;1
14;"Johan de Druynt";"Johan de Druynt";;;"Inconnue";"Chambrier";"M";;;;"6";1
15;"Boniface de la Motte";"Boniface de la Motte";;;"Inconnue";"maître des comptes d'Amédée VI";"M";;;;"6";1
16;"Johan de Bordellis";"Johan de Bordellis";;;"Inconnue";"recteur travaux";"M";"Bourget";;;;1
18;"Bertet Escarran";"Bertet Escarran";;;"Inconnue";"maçon";"M";;;;;1
19;"Guillaume de Billiene";"Guillaume de Billiene";;;"Inconnue";"maçon";"M";;;;;1
20;"François de Maximion";"François de maximion";;;"Inconnue";"charpentier et maître des œuvre du château du Bour";"M";;;;;1
21;"Antoine Curtet";"Antoine Curtet";;;"Inconnue";"page";"M";;;"pour le page n'est dit que curtet et pas Antoine curtet.";"6";1
22;"François Bonivard";"François Bonivard";;;"Inconnue";"écuyer";"M";"Chambéry";;;"6";1
23;"Liome Bon";"Liome Bon";;;"Inconnue";"médecin";"M";;;;;1
24;"Antoine de la Chambre";"Antoine de la Chambre";;;"Inconnue";"page";"M";;;;;1
25;"Aymé d'Orlie";"Aymé d'Orlie";;;"Inconnue";;"M";;;;;1
26;"Pierre Garnier";"Pierre Garnier";;;"Inconnue";;"M";;;;;1
27;"la Gandra";"Johan Bondin";"la Gandra";;"Inconnue";"tondeur";"M";"Chambéry";;;;1
28;"Janin la trompette";"Janin ";;;"Inconnue";"trompette";"M";;;;"6";1
29;"femme de Janin la trompette";" ";;;"Inconnue";"femme de Janin trompette";"F";;;;"6";1
30;"Mylliet de Pampigne";"Mylliet de Pampigne";;;"Inconnue";;"M";;;;;1
31;"Simond le taillieur";"Simond de Colompina";;;"Inconnue";"tailleur";"M";;;;"Bonne de Bourbon";1
32;"mère d'Amédée VI";;;;"Inconnue";;"M";;;;;0
33;"Griffon le couturier";"Griffon";;;"Inconnue";"couturier";"M";;;;;1
34;"bâtard de Menthon";"Menthon";"bâtard";;"Inconnue";;"M";;;;;1
35;"Pierre Clerc le couturier";"Pierre Clerc";;;"Inconnue";"couturier";"M";;;;"Bonne de Bourbon";1
36;"Johan de Chignin";"Johan de Chignin";;;"Inconnue";"page";"M";;;;"6";1
37;"Jacquemet de Chevelu";"Jacquemet de Chevelu";;;"Inconnue";"page";"M";;;;"6";1
38;"Ferragu";"Ferragu";;;"Inconnue";"valet de pied des cheveaux d'Amédée VI";"M";;;;;1
39;"Guaredum";"Guaredum";;;"Inconnue";"mercier";"M";;;;;1
40;"Johan de Challes";"Johan de Challes";;;"Inconnue";;"M";;;;"7";1
41;"Johan de Seraval";"Johan de Seraval";"Pancerot";;"Inconnue";"seigneur";"M";;;;;1
42;"Pierre Girard le tondeur";"Pierre Girard";"le tondeur";;"Inconnue";"tondeur";"M";;;;;1
43;"Reymond de Bone";"Reymond de Bone";;;"Inconnue";"maître de divinité dominicain";"M";;;;;1
44;"le Moyne de Saluces";"le Moyne de Saluces";;;"Inconnue";"fils de Galeas de Saluces";"M";;;"peut être Thomas de Saluces";;1
45;"Luquinet de Saluces";"Luquinet de Saluces";;;"Inconnue";"fils de galeas de Saluces";"M";;;"peu être Hugonet";;1
46;"Anequin le tondeur";"Anequin";;;"Inconnue";"tondeur";"M";;;;;1
47;"Johan Vionet";"Johan Vionet";"grand";;"Inconnue";;"M";;;;;1
48;"Louis de Savoie";"Louis de Savoie";;;"Inconnue";"fils d'Amédée VI";"M";;;;;1
49;"Girardin le mercier";"Girardin";;;"Inconnue";"mercier";"M";;;;;1
50;"femme d' Anequin l'Alemand";;;;"Inconnue";;"F";;;;;1
51;"seigneur d'Urtières";"Urtières";;;"Inconnue";;"M";;;;;1
52;"Jacquelin le palfrenier";"Jacquelin";;;"Inconnue";"palfrenier";"M";;;;"6";1
53;"Laurence Delaissie";"Laurence Delaissie";;;"Inconnue";;"F";;;;;1
54;"Romanet Picard";"Romanet Picard";;;"Inconnue";"mercier";"M";;;;;1
55;"Perrin (couturier)";"Perrin";;;"Inconnue";"couturier";"M";;;;;1
56;"prieur de Dameission";"prieur de Dameission";;;"Inconnue";"prieur";"M";;;"dit maître de Thomas de Saluces";"Thomas de Saluce";1
57;"Martin du Costaret le pelletier";"Martin du Costaret";;;"Inconnue";"pelletier";"M";"La Chambre";;;;1
58;"Perrin le parcheminier";"Perrin";;;"Inconnue";"parcheminier";"M";"Conflans";;;;1
59;"fils de Tranchebourse";"fils de Tranchebourse";;;"Inconnue";"gantier";"M";;;"peut être Montméliant";;1
60;"gantier de Montméliant";"gantier de Montméliant";;;"Inconnue";;"M";"Montméliant";;"peut être fils de Tranchebourse";;1
61;"Amblard le pellicier";"Amblard le pellicier";;;"Inconnue";"pellicier";"M";"Chambéry";;;;1
62;"Ribaud Viast";"Ribaud Viast";;;"Inconnue";"mercier";"M";"Chambéry";;;;1
63;"Michel Pape";"Michel Pape";;;"Inconnue";"mercier";"M";"Chambéry";"turin";;;1
64;"Johan de Verney";"Johan de Verney";;;"Inconnue";;"M";;;;;1
65;"Johan Ranais";"Johan Ranay";;;"Inconnue";"secrétaire";"M";;;;"6";1
66;"duc de Bourgogne";"duc de Bourgogne";;;"Inconnue";"duc";"M";;;;;1
67;"Thomas de Saluces";"Thomas de Saluces";;;"Inconnue";"fils de Galeas de Saluces";"M";;;;;1
69;"Aymé d'Amberieu de Lyon";"Aymé d'Amberieu";;;"Inconnue";"escoffier";"M";"Lyon";;;;1
70;"Johan le chapelain";"Johan";;;"Inconnue";"chapelain d'Amédée VI";"M";;;;;1
71;"Pierre Andrevet";"Pierre Andrevet";;;"Inconnue";"écuyer";"M";"Pont de Veyles";;;"6";1
72;"Petremand Ranais";"Petremand Ranais";;;"Inconnue";;"M";;;;;1
73;"valet pelletier de Amblard";"vallet pelletier de Amblard";;;"Inconnue";;"M";;;;;1
74;"Johan de Chalon";"Johan de Chalon";;;"Inconnue";"couturier";"M";"Chambéry";;;;1
75;"Aubin l' escoffier";"Aubin";;;"Inconnue";"escoffier";"M";;;;;1
76;"valet couturier";;;;"Inconnue";"valet couturier";"M";;;;;0
77;"femme de françois d'Arenthon";;;;"Inconnue";;"F";;;;;1
78;"Pierre du Bonens";"Pierre du Bonens";;;"Inconnue";"chapuis";"M";;;;;1
79;"André Curtet";"Andrée Curtet";;;"Inconnue";;"M";;;;;1
80;"humbert de Fromentes";"Humbert de Fromentes";;;"Inconnue";"seigneur";"M";;;;;1
81;"François Teste";"François Teste";;;"Inconnue";;"M";"Chambéry";;;;1
82;"Pierre de Marmont écuyer";"Pierre de Marmont";;;"Inconnue";"écuyer";"M";;;;"7";1
83;"7";"Amédée VII";;;"Inconnue";"comte";"M";;;;;1
84;"Guy de Grolée";"Guy de Grolée";;;"Inconnue";"écuyer";"M";;;;"7";1
85;"inconnue";"inconnue";;;"Inconnue";;"M";;;;;1
86;"Amblard l'arbalètrier";"Amblard";;;"Inconnue";"arbalètrier";"M";;;;;1
87;"Challand";"Challand";;;"Inconnue";;"M";;;;;1
88;"Aymé de Challand";"Aymé de Challand";;;"Inconnue";"chevalier";"M";;;;;1
89;" Perrin le taillieur";"Perrin de Chamenubo";;;"Inconnue";"tailleur";"M";;;;"7";1
91;"braconnier d'Amédée VII";;;;"Inconnue";"braconnier";"M";;;;"7";1
92;"arbalètrier 7";;;;"Inconnue";"arbalètrier d'Amédée VII";"M";;;;;1
93;"Thomas de Saint-Innocent";"Thomas de Saint-Innocent";;;"Inconnue";"clerc de Saint-Innocent";"M";;;;;1
94;"écuyer du roi de France";;;;"Inconnue";"écuyer du roi de France";"M";;;;;1
95;"Pierre Dporier";"Pierre Dorier";;;"Inconnue";"dorier";"M";;;"voir pierre Dorier";"7";1
96;"écuyer du pape";;;;"Inconnue";"écuyer";"M";;;;;1
97;"Thomas fils de M. Pape";"Thomas Pape";;;"Inconnue";;"M";;;;;1
98;"Guillaume de Challes";"Guillaume de Challes";;;"Inconnue";"écuyer";"M";;;;"7";1
99;"Seigneur de Bagée et de Montluel";"Seigneur de Bagée et de Montluel";;;"Inconnue";;"M";;;;;1
100;"Johan le Verrier";"Johan";;;"Inconnue";"verrier";"M";;;;;1
101;"Pierre de Getz";"Pierre de Getz";;;"Inconnue";"pellicier";"M";;;"c'est pierre de Gay";;1
102;"Jacob de la Fléchière";"Jacob de la Fléchière";;;"Inconnue";"page";"M";;;;"6";1
103;"François Calond";"François Calond";;;"Inconnue";;"M";;;;;1
104;"Estevenet Parturset";"Estevenet Parturset";;;"Inconnue";"drapier";"M";;;;;1
105;"pauvre de Seyselle";;;;"Inconnue";"pauvre";"M";"saiselles";;;;1
106;"Thomasset le méssager d'Amédée VI";"Thomasset";;;"Inconnue";"messager";"M";;;;;1
107;"Bertrand de Hamy";"Bertrand de Hamy";;;"Inconnue";"écuyer";"M";;;;;1
108;"valet d'Humbert Dais";"inconnue";;;"Inconnue";"valet";"M";;;;"Humbert Dais";1
109;"Humbert Dais";"Humbert Dais";;;"Inconnue";"seigneur";"M";;;;;1
110;"Johan du Crest";"Johan du Crest";;;"Inconnue";;"M";;;;;1
111;"Mercurin le maréchal";"Mercurin";;;"Inconnue";"maréchal";"M";;;"martulin, merceri";"6";1
112;"page d'Amédée VII";"inconnu";;;"Inconnue";"page";"M";;;;"7";1
