"compte";"numTrans";"Ville";"Region";"Occasion";"Date";"Remarques";"AchatMP";"AchatPP";"AchatFA";"AchatDA";"typeAchat";"pagination";"date_ordre";"date_recette";"Prix_Ensemble";"prix_partage"
"1 MI 146, B2, R24";2629;;;;5/3/1363 00:00:00;;0;0;1;0;;"16";5/3/1363 00:00:00;;4442;0
"1 MI 146, B2, R24";2630;;;;28/4/1363 00:00:00;;1;0;1;0;;"16";28/4/1363 00:00:00;;4452;0
"1 MI 146, B2, R24";2631;;;;28/5/1363 00:00:00;;0;1;0;0;;"16";28/5/1363 00:00:00;;4453;0
"1 MI 146, B2, R24";2632;;;;17/6/1363 00:00:00;;1;0;0;0;;"16";17/6/1363 00:00:00;;4454;0
"1 MI 146, B2, R24";2633;;;;;;0;1;0;0;;"16";;;4455;0
"1 MI 146, B2, R24";2634;;;;17/6/1363 00:00:00;;1;0;0;0;;"16";17/6/1363 00:00:00;;4456;0
"1 MI 146, B2, R24";2635;;;;17/6/1363 00:00:00;;1;0;0;0;;"16";17/6/1363 00:00:00;;4457;0
"1 MI 146, B2, R24";2636;;;;17/6/1363 00:00:00;;0;0;0;0;;"16";17/6/1363 00:00:00;;4458;0
"1 MI 146, B2, R24";2637;;;;17/6/1363 00:00:00;;1;0;0;0;;"16";17/6/1363 00:00:00;;4460;0
"1 MI 146, B2, R24";2638;;;;17/7/1363 00:00:00;"gris souris éguale Murinus";1;0;0;0;;"16";17/7/1363 00:00:00;;4461;0
"1 MI 146, B2, R24";2639;;;;17/7/1363 00:00:00;;1;1;1;0;;"17";17/7/1363 00:00:00;;4462;0
"1 MI 146, B2, R24";2640;;;;17/7/1363 00:00:00;;1;0;0;0;;"17";17/7/1363 00:00:00;;4463;0
"1 MI 146, B2, R24";2641;;;;17/7/1363 00:00:00;;1;0;0;0;;"17";17/7/1363 00:00:00;;4464;0
"1 MI 146, B2, R24";2642;;;;17/7/1363 00:00:00;;1;0;0;0;;"17";17/7/1363 00:00:00;;4465;0
"1 MI 146, B2, R24";2643;;;;17/7/1363 00:00:00;;1;0;0;0;;"17";17/7/1363 00:00:00;;4466;0
"1 MI 146, B2, R24";2644;;;;17/7/1363 00:00:00;;0;0;1;0;;"17";17/7/1363 00:00:00;;4467;0
