CodeCompte;CodeCommande;CodePersonne;Numero;Prix;DateOrdre
11;10;14;1;"30 L v";
11;11;14;2;"10L v";
11;12;14;3;"100 S v";
11;13;14;4;"100 S";
11;14;14;5;"100 S v";
12;16;14;1;"24 L";
12;17;14;2;"4 L 10 S";
14;18;14;1;"24 L 12 D v";
14;19;14;2;"70 S v";
16;20;14;1;"24 L 12 D v";
17;21;14;2;"70 S v";
17;22;31;3;"4 L 6D v";
17;23;14;4;"8 L 10 S v";
17;24;29;6;"108 S v";
17;25;29;7;"64 S v";
17;26;29;8;"49 l 3s 9d v";
17;27;14;10;"66s v";
18;28;29;1;"8l v";
19;29;14;1;"71s 2d v";
19;30;29;2;"55s v";
19;31;14;3;"10l v";
19;32;31;4;"66s v";
19;34;14;5;"10l v";
20;33;29;1;"75s v";
21;35;14;1;"13l v";
21;36;14;2;"11l 5s v";
21;37;14;3;"19l v";
21;38;14;4;"40s v";
21;39;14;5;"8l 6d v";
21;40;14;6;"19l v";
21;41;52;7;"47l 8s v lug";
21;42;14;8;"9l 10s 1d v";
22;44;14;1;"100s v esperonis";
22;45;14;2;"23l v esperonis";
22;46;14;8;"32l 10s v esperonis";
22;47;14;9;"8l 15s 6d v esperonis";
22;48;14;12;"27s 6d v";
22;49;52;15;"60s 6d gt";
22;50;52;18;"19l 18d v esperonis";
22;51;14;20;"19l 16s v esperonis";
22;52;14;21;"148l 11s v esperonis";
22;53;14;22;"107l 10s 3d v esperonis";
22;54;14;61;"20l v escucellis";
22;55;14;23;"8l 16s v esperonnis";
22;56;14;24;"27l 10s v esp";
22;57;14;25;"22s v esp";
22;58;14;26;"22s v esp";
22;59;14;28;"41L 5S v esp";"vendredi av fête de l' ascension1311"
22;60;14;29;"109L v esp   ; 135L par tur";
22;61;14;30;"32L v esp";
22;62;14;31;"105S v esp";
22;63;14;32;"30L 7S v esp";
22;64;14;33;"8l 8s v esp";
22;65;14;34;"25l v esp";
22;66;14;35;"50s 6d v esp";
22;67;14;36;"6L 19S 6D v esp";
22;68;14;37;"110S v esp";
22;69;14;38;"6L 3S 6D V ESP";
22;70;14;39;"7L 5S v esp";
22;71;52;41;"11L 16S v esp";
22;72;14;62;"24L v lug";
22;73;14;42;"16L lionetorum";
22;74;14;43;"9L lionetorum";
22;75;14;44;"45S lionetorum";
22;76;14;45;;
22;77;14;47;"14S lionetorum";
22;78;14;49;"14S lionetorum";
22;79;14;50;"15S";
22;80;14;51;"10S lonetorum";
22;81;14;52;"10S lionetorum";
22;82;14;53;"3S lionetorum";
22;83;14;54;"5L 7S 6 D  v esp";
22;84;14;55;"25L v esp";
22;85;14;56;"7L 13S v esp";
22;86;14;57;"66S v esp";
22;87;14;58;"7L v esp";
22;88;14;59;"12L 10S v esp";
22;89;14;60;"25S v esp";
23;90;14;1;"30FA";"23 octobre"
23;91;14;2;"12L 19S v";
23;92;14;3;"94L v esp";
23;93;142;5;"1000L par tur";
23;94;52;6;"19S 2D gt";
23;95;14;7;"18S v";
23;96;14;8;"18L v";
23;97;14;9;"6L v";
24;98;14;1;"6L 18S 6D g v";"mercredi av st marie-madeleine 1313"
24;99;14;2;"179L 10S v";
25;100;14;1;"13L 10S v tur";
25;101;14;2;"48S v tur";
25;102;14;3;"37L 4S v tur";"13 avril 1314"
25;103;14;4;"54S v tur";
25;104;14;5;"110L 18D v tur";"17 aout 1314"
25;105;14;6;"106S v tur";
25;106;14;7;"15L 5S gt";"5 septembre 1314"
25;107;14;8;"33S 4D v tur";
25;108;14;9;"12L 12S v tur";
25;109;14;10;"16 v";
25;110;14;11;"20S";
25;111;14;12;"19L 11S v";"le dernier jour de janvier 1315"
25;112;14;13;"9S v";
25;113;14;15;"12L 10S 6 v tur";"10 mai 1315"
25;114;14;16;"18L 8           s v tur";"10 mai 1315"
25;115;14;17;"8L 14S 2D v?";
25;116;14;18;"4L 6S v";"1 juin 1315"
25;117;14;19;"20S v curs";
25;118;14;20;"117S v curs";
25;119;14;21;"30L gt";
25;120;14;22;"7L 2S v curs";
26;121;14;1;"100s 10d v tur";
26;122;14;2;"121 S v tur";
26;123;14;4;"16L2S 8D v curs";"juillet 1316"
26;124;14;5;"33L 12S 10D v curs";"mercredi av st Michel 1316"
26;125;14;6;"19L 6S v curs";"jeudi av st Barthelémi 1316"
26;126;14;7;"110S v curs";"1 juillet 1316"
27;127;14;1;"11L 17S v curs";
27;128;14;2;"6L v curs";"1 mai 1317"
27;129;14;3;"8L 4S v curs";
27;130;14;4;"11L 18S v curs";
27;131;14;5;"30L v curs";
27;132;14;6;"32S 6D gt";
27;133;14;7;"4L 8S 4D gt";"juin 1317"
27;134;14;8;"14L 4S v tur";
27;135;14;10;"51S v curs";
27;136;14;11;"9L v curs";
28;137;14;1;;
28;138;14;3;"100S v curs";
28;139;14;4;"58L v curs";
28;140;14;5;"17L v curs";
28;141;14;19;"51L 12S v escu";
28;142;14;7;"8L 10S v curs";
28;143;14;8;"9L v curs";
28;144;14;9;"4L v curs";
28;145;14;10;"4L 10S v curs";
28;146;14;11;"22L 2S v curs";
28;147;14;12;"14S gt";"septembre 1318"
28;148;14;13;"8S gt";
28;149;14;14;"16S 6D gt";
28;150;14;16;"100S v curs";
28;151;14;20;"28S v curs";
28;152;14;17;"16L 3S v curs";
28;153;14;18;"8L 15S v curs";
29;154;14;1;"12???(détérioré)";
29;155;14;2;"10S g?";
29;156;14;3;"101L ???";
29;157;14;4;"?";
29;158;14;7;"?";
29;159;14;8;"?";
29;160;14;9;"105?... F";
29;161;14;10;"13L..?";
30;162;315;1;"?";"23 octobre 1330"
30;163;315;2;"25S gt";"21 octobre 1330"
30;164;315;22;"36S 10D f tur";"21 octobre 1330"
30;165;315;3;"77S 10D f ad C et 7S 5D gt";"22 juin 1330"
30;166;315;6;"34S 9D gt";"13 juin 1330"
30;167;315;7;"10S ob gt";"22 juin 1330"
30;168;315;8;"4S4D gt";"23 juillet 1330"
30;169;315;9;"20S gt";"10 juillet 1330"
30;170;315;10;"4S 3D gt";"dernier jour d' août 1330"
30;171;315;11;"8S 11D gt";
30;172;315;13;"53 gt";"12 octobre 1330"
30;173;315;16;"10S 1D gt";"12 octobre 1330"
30;174;315;17;"4S 8D gt";"4 novembre 1330"
30;175;315;18;"2S 10D gt";"18 novenbre 1330"
30;176;315;19;"31S 2D gt et 92FA deF";"8 octobre 1330"
30;177;315;22;"6S gt";"22 février 1331"
30;178;315;23;"72S 10D 3/4 gt et 3FA de F";"25 février 1331"
30;179;315;24;"19S 2D gt";"1 mars 1331"
30;180;315;26;"20S gt";"8 octobre 1330"
30;181;315;27;"3S 3D gt";
30;182;315;28;"?";
30;183;283;30;"65S gt";"23juillet 1330"
31;184;283;1;"28L 7S 8D ob gt";"entre 8 mai 1333 et drenier jour demai 1334"
31;185;315;2;"19L 6S 2D ob gt";"22 septembre 1333"
31;186;283;3;"63S 8D gt";"avant dernier jour de novembre 1333"
31;187;315;4;"6L 5S 2D gt";"2 mai 1334"
31;188;315;5;"70S 7D gt";"12 mai 1334"
31;189;315;6;"2S 3D gt";"13 mai 1334"
31;190;315;7;"10S gt";
31;191;263;8;"4S gt";
31;192;315;9;"18D gt";
31;193;315;10;"6D gt";
31;194;315;11;"7S 6D gt";"29 juin 1334"
31;195;315;12;"14D gt";
