"CodeMateriaux","Matiere","Couleur","type","famille","nom","couleur","carac_couleur","carac_facture"
20,"agneau",,"F","NA","agneau",,,
40,"agneau","pernis","F","NA","agneau","pernis",,"pernis"
54,"agneau","blanc","F","NA","agneau","blanc","blanc",
63,"agneau","patere","F","NA","agneau","patere",,"patere"
83,"agneau","assinatus","F","NA","agneau","assinatus",,"assinatus"
87,"agneau","blanc","F","NA","agneau","blanc","blanc",
228,"argent",,"O","NA","argent",,,
224,"Atolay",,"I","NA","Atolay",,,
19,"autres choses",,"N","NA","autres choses",,,
99,"bièvre",,"F","NA","bièvre",,,
198,"bièvre","noire","F","NA","bièvre","noire","noir",
62,"bife",,"E","LAINE","bife",,,
67,"blanc",,"E","LAINE","blanc",,,
14,"blanchet","blanc","E","LAINE","blanchet","blanc","blanc",
138,"blaueti",,"E","LAINE","blaueti",,,
57,"blodii",,"E","LAINE","blodii",,,
221,"bougrant",,"E","LAINE","bougrant",,,
154,"bourre","laine","E","LAINE","bourre","laine",,
96,"brunette",,"E","LAINE","brunette",,,
216,"brunette","noire","E","LAINE","brunette","noire","noir",
255,"brunette","morée","E","LAINE","brunette","morée","morée",
24,"brussequin",,"E","LAINE","brussequin",,,
199,"brussequin","brun","E","LAINE","brussequin","brun","brun",
120,"bugia","blanc","F","NA","bugia","blanc","blanc",
217,"bugia",,"F","NA","bugia",,,
109,"bugia ou lugia",,"F","NA","bugia ou lugia",,,
23,"camelin",,"E","LAINE","camelin",,,
27,"camelin","rouge","E","LAINE","camelin","rouge","rouge",
55,"camelin","en graine","E","LAINE","camelin","en graine","graine",
70,"camelin","beguini","E","LAINE","camelin","beguini","beguini",
89,"camelin","blanc goutté de graine","E","LAINE","camelin","blanc goutté de graine","blanc goutté de graine",
93,"camelin","imitant le tanné","E","LAINE","camelin","imitant le tanné","tanné",
98,"camelin","blanc","E","LAINE","camelin","blanc","blanc",
121,"camelin","blanc gouté","E","LAINE","camelin","blanc gouté","blanc goutté",
133,"camelin","vert","E","LAINE","camelin","vert","vert",
134,"camelin","vermeil","E","LAINE","camelin","vermeil","vermeil",
135,"camelin","brun","E","LAINE","camelin","brun","brun",
183,"camelin","cagnatus","E","LAINE","camelin","cagnatus","cagnet",
186,"camelin","marbré","E","LAINE","camelin","marbré","marbré",
200,"camelin","marbré rouge","E","LAINE","camelin","marbré rouge","marbré rouge",
218,"camelin","violet","E","LAINE","camelin","violet","violet",
242,"camelin","nay","E","LAINE","camelin","nay","nay",
253,"camelin","rayé","E","LAINE","camelin","rayé","rayé",
161,"camelot",,"E","LAINE","camelot",,,
241,"camelot","fin","E","LAINE","camelot","fin",,"fin"
256,"camiscati",,"E","LAINE","camiscati",,,
150,"capeti",,"E","LAINE","capeti",,,
170,"capi",,"E","LAINE","capi",,,
149,"capitegium",,"E","LAINE","capitegium",,,
147,"castra",,"F","NA","castra",,,
126,"castro vele",,"F","NA","castro vele",,,
129,"castro vele","blanc","F","NA","castro vele","blanc","blanc",
29,"cendal",,"E","SOIE","cendal",,,
42,"cendal","en graine","E","SOIE","cendal","en graine","graine",
43,"cendal","vert","E","SOIE","cendal","vert","vert",
50,"cendal","noir","E","SOIE","cendal","noir","noir",
80,"cendal","noir","E","SOIE","cendal","noir","noir",
82,"cendal","rouge","E","SOIE","cendal","rouge","rouge",
85,"cendal","azur","E","SOIE","cendal","azur","azur",
164,"cendal","rouge renforcé","E","SOIE","cendal","rouge renforcé","rouge ","renforcé"
165,"cendal","jaune","E","SOIE","cendal","jaune","jaune",
166,"cendal","blanc renforcé","E","SOIE","cendal","blanc renforcé","blanc","renforcé"
167,"cendal","yndi renforcé","E","SOIE","cendal","yndi renforcé","yndi","renforcé"
171,"cendal","vert renforcé","E","SOIE","cendal","vert renforcé","vert","renforcé"
177,"cendal","blanc","E","SOIE","cendal","blanc","blanc",
205,"cendal","yndi","E","SOIE","cendal","yndi","yndi",
214,"cendal","vermeil","E","SOIE","cendal","vermeil","vermeil",
58,"chanvre",,"E","TOILE","chanvre",,,
233,"cordon",,"M","NA","cordon",,,
251,"cordon","soie","M","NA","cordon","soie",,
155,"coton",,"M","TOILE","coton",,,
182,"coton",,"M","TOILE","coton",,,
49,"crêpe",,"E","SOIE","crêpe",,,
197,"cuisse de lièvre","blanche","F","NA","cuisse de lièvre","blanche","blanc",
104,"divers vairs",,"F","NA","divers vairs",,,
103,"dos de lapin",,"F","NA","dos de lapin",,,
106,"drap","plain","E","LAINE","drap","plain","uni",
192,"drap d'argent",,"E","SOIE","drap d'argent",,,
31,"drap d'or",,"E","SOIE","drap d'or",,,
178,"drap de Florence",,"E","LAINE","drap de Florence",,,
45,"écarlate","punatia","E","LAINE","écarlate","punatia","punatia",
65,"écarlate",,"E","LAINE","écarlate",,,
119,"écarlate","vermeil","E","LAINE","écarlate","vermeil","vermeil",
173,"écarlate","rayé","E","LAINE","écarlate","rayé","rayé",
190,"écarlate","morée","E","LAINE","écarlate","morée","morée",
191,"écarlate","violet","E","LAINE","écarlate","violet","violet",
203,"écarlate","alea","E","LAINE","écarlate","alea","alea",
207,"écarlate","rouge","E","LAINE","écarlate","rouge","rouge",
213,"écarlate","echarcate","E","LAINE","écarlate","echarcate","à carreaux",
219,"écarlate","vergette","E","LAINE","écarlate","vergette",,"vergette"
236,"écarlate","rose","E","LAINE","écarlate","rose","rose",
130,"ecarlate rayée","vermeil","E","LAINE","ecarlate rayée","vermeil","vermeil",
53,"écureuil",,"F","NA","écureuil",,,
201,"errefile","de St denis","E","LAINE","errefile","de St denis",,
35,"eschargati",,"E","LAINE","eschargati",,,
208,"eschargati","rayé","E","SOIE","eschargati","rayé","rayé",
206,"estafeta",,"E","SOIE","estafeta",,,
32,"fil",,"M","NA","fil",,,
77,"fil","rouge","M","NA","fil","rouge","rouge",
78,"fil","blanc","M","NA","fil","blanc","blanc",
79,"fil","yndi","M","NA","fil","yndi","yndi",
