CodeCommande;CodePFA;CodeMateriaux
58;14;25
67;16;23
71;18;34
76;19;49
152;28;88
162;29;17
173;32;99
175;33;95
177;34;17
182;37;97
182;38;17
184;40;17
184;41;17
207;49;17
208;50;48
208;51;17
223;52;99
229;56;17
229;57;17
234;59;25
260;61;17
260;62;17
273;64;25
288;66;68
288;67;9
290;68;88
291;69;99
416;89;17
433;90;30
442;92;111
453;95;25
467;96;25
468;97;88
508;103;25
509;104;111
511;106;25
514;107;108
516;108;25
528;110;80
528;110;99
538;111;25
539;112;88
562;116;43
564;117;178
589;118;17
609;119;99
626;120;25
627;121;25
628;122;25
629;123;25
630;124;190
636;125;25
673;127;25
679;128;25
681;129;198
766;137;31
791;141;20
849;146;65
849;146;224
852;148;99
864;154;17
864;154;228
881;165;29
881;166;228
882;167;17
886;172;25
886;174;25
887;175;17
916;179;20
922;181;240
960;186;252
1040;204;25
1042;205;97
1049;206;25
1049;207;25
1049;208;25
1049;209;25
1050;210;111
1095;219;31
1095;219;50
