CodeCommande;CodePFF;CodeMateriaux
212;146;48
217;150;108
437;366;33
438;367;33
469;375;9
530;396;48
588;433;9
595;442;23
665;479;161
671;481;84
689;492;111
689;492;199
689;493;111
689;493;199
689;494;111
689;494;200
689;495;95
689;495;201
695;497;35
706;501;204
706;501;205
706;502;35
706;503;161
706;503;206
712;509;81
724;516;17
866;603;81
867;609;81
887;635;17
887;636;239
925;652;25
925;652;65
925;653;241
925;654;47
929;657;242
929;658;242
929;659;242
930;660;243
932;662;207
959;680;44
960;684;17
960;684;30
960;684;32
961;687;23
961;687;45
961;689;23
961;689;65
961;690;253
961;692;254
961;694;9
961;694;23
961;695;23
961;696;23
961;697;247
970;708;11
970;710;65
993;721;17
993;721;29

