"CodeCommande","CodePB","CodeMateriaux","BProvenance","BLieuAchat","BQuantite","quantité","unité","BPrixUnitaire","prix unitaire","monnaie prix unitaire","BPrixGlobal","prix global","monnaie prix global","BOccasion"
10,18,12,,,"plusieurs","plusieurs",,,,,"66Sv","0 66 0","viennois",
13,129,22,,"Chambéry","2","2",,,,,,,,
13,130,36,,"Chambéry","1","1",,,,,,,,
16,5,10,,,"plusieurs","plusieurs",,,,,,,,
18,6,11,,,,,,,,,,,,
18,7,12,,,"plusieurs","plusieurs",,,,,,,,
20,8,11,,,"plusieurs","plusieurs",,,,,,,,
20,9,12,,,"plusieurs","plusieurs",,,,,,,,
21,10,13,,,"10 aunes",10,"aune","7 S v","0 7 0","viennois","70 S v","0 70 0","viennois",
22,11,14,,,"40 aunes",40,"aune",,,,"4 L 6 D v","4 6 0","viennois",
23,12,15,,,"13 aunes",13,"aune",,,,"8 L 10 S v","8 10 0","viennois","Maître Pierre la fait envoyer"
25,13,16,,,"8 aunes",8,"aune",,,,,,,
27,14,17,,,"7 onces",7,"once",,,,,,,"pour la cote faite par Blondelli"
27,15,18,,,"un gros cannon",1,"canon",,,,,,,"pour la cote et le pourpoint fait par Blondelli"
30,16,11,,,"plusieurs","plusieurs",,,,,"55s v","0 55 0","viennois",
32,17,12,,,"plusieurs","plusieurs",,,,,"66s v","0 66 0","viennois",
33,19,11,,,"plusieurs","plusieurs",,,,,"75s v","0 75 0","viennois",
34,20,17,,,,,,,,,,,,
34,21,19,,,,,,,,,,,,
36,22,21,,"Chambéry","6","6",,,,,,,,
37,23,11,,,"plusieurs","plusieurs",,,,,"19l 13s","19 13 0",,
38,24,22,,,"2","2",,,,,"40s v","0 40 0","viennois","pour mettre sur des corsets"
39,25,23,,,"8.5 aunes",8.5,"aune",,,,,,,"la tonte est comprise dans l' item."
40,26,11,,,"plusieurs","plusieurs",,,,,,,,"la tonte est comprise dans l'item."
41,27,24,,,"13 aunes",13,"aune",,,,,,,
41,28,25,,,"2","2",,,,,,,,
42,29,23,,,"8 aunes",8,"aune",,,,"9l 10s 1d v","9 10 1","viennois",
44,30,9,,,"6 aunes",6,"aune",,,,"100s v esperonis","0 100 0","viennois à l'éperon",
45,31,27,,,"15 aunes 2/3",15.66,"aune",,,,,,,
46,32,28,,,"17 aunes",17,"aune",,,,,,,
46,33,29,,,"55 aunes",55,"aune",,,,,,,
47,34,30,,,"27 aunes",27,"aune",,,,"8l 15s 6d v esperonis","8 15 6","viennois à l'éperon",
48,35,22,,,"1","1",,"27s 6d v","0 27 6","viennois",,,,
49,36,31,,"Châlon-sur-Saône","2","2",,,,,"60s 6d gt","0 60 6","gros tournois","la rencontre avec le duc d' Autriche"
50,37,17,,,,,,,,,,,,
50,38,29,,,,,,,,,,,,
50,39,32,,,,,,,,,,,,
50,40,19,,,,,,,,,,,,
51,41,30,"Reims",,"66 aunes",66,"aune","6s",,,"19l 16s v esperonis","19 16 0","viennois à l'éperon","voyage en Italie avec l' Empereur"
52,42,23,"Malines",,"12.5 aunes",12.5,"aune",,,,,,,
52,43,33,"Ypres",,"24 aunes",14,"aune",,,,,,,"Livrée"
52,44,11,,,"13 aunes",13,"aune",,,,,,,
52,45,9,,,"44 aunes",44,"aune",,,,,,,"livrée"
52,46,34,,,"43 aunes",43,"aune",,,,,,,"livrée"
52,47,34,,,"52 aunes",52,"aune",,,,,,,"livrée"
52,48,34,,,"24 aunes",24,"aune",,,,,,,"livrée"
53,49,27,,,"13 aunes",13,"aune",,,,,,,"livrée"
53,50,23,"Bruxelles",,"16.5 aunes",16.5,"aune",,,,,,,"livrée"
53,51,23,"Malines",,"10 aunes",10,"aune",,,,,,,"livrée"
53,52,23,"Malines",,"17 aunes",17,"aune",,,,,,,"livrée"
53,53,33,,,"8 aunes",8,"aune",,,,,,,"livrée"
53,54,34,,,,,,,,,,,,"livrée"
53,55,34,"Provins",,"8 aunes",8,"aune",,,,,,,"livrée"
54,56,22,,,"2","2",,,,,"20l v escucellis","20 0 0","viennois à l'écu",
55,57,9,"Douai",,"4.5 aunes",4.5,"aune",,,,,,,
55,58,33,,,"1 aune",1,"aune",,,,,,,"mètrage manquant dans la livrée"
56,59,23,,,"19 aunes",19,"aune",,,,"27l 10 s v esp","27 10 0","viennois à l'éperon","livrée pou voyage Italie avec roi romain toute fam"
57,60,25,,,"3","3",,,,,,,,
59,61,35,,,"12 aunes",12,"aune",,,,"41L 5S v esp","41 5 0","viennois à l'éperon",
60,62,36,,"Paris","44","44",,,,,,,,"ramenées par A5 pour les chevaliers qui n'iront pas en Italie avec la comtesse"
60,63,20,,"Lyon","25 pennis",25,"penne",,,,,,,"ramenées par A5 pour les chevaliers qui n'iront pas en Italie avec la comtesse"
60,64,38,,"Paris","13.5 pennis",13.5,"penne",,,,,,,"ramenées par A5 pour les chevaliers qui n'iront pas en Italie avec la comtesse"
60,65,39,,"Lyon","21 pennis",21,"penne",,,,,,,"livrée"
