"CodePersonne","Nom_pdox","Qualite","Identité","Nom","occupation","rattachement","Surnom","Diminutif","titre","sexe"
464,"?","arbalètrier du Seigneur de Chambéry","arbalètrier du Seigneur de Chambéry","arbalètrier du Seigneur de Chambéry","arbalétrier",,,,,"M"
681,"?","associers de Frére?","associers de Frére","associers de Frére","associé","Frère",,,,"M"
211,"?","avoué d'Aymon (comte)","avoué du comte Aymon",,"avoué","Aymon comte de savoie",,,,"M"
857,"?","bailli du Chablais","bailli du Chablais",,"bailli","Aymon comte de savoie",,,,"M"
36,"?","bouteiller du seigneur Edouard","bouteiller du comte Édouard","bouiteiller du comte Édouard","bouteiller","Édouard comte de Savoie",,,,"M"
456,"?","chambrière de la Contesse(A6)","chambrière Bonne de Bourbon","chambrière Bonne de Bourbon","chambrière","Bonne de Bourbon",,,,"F"
426,"?","chantre du Comte de Genève","Chantre d'Amédée III","Chantre d'Amédée III","chantre","Amédée III",,,,"M"
748,"?","chapelain anglais","chapelain anglais","chapelain anglais","chapelain",,,,,"M"
209,"?","chapelain d'Aymon (comte)","Chapelain d'Aymon comte de Savoie","Chapelain d'Aymon comte de Savoie","chapelain","Aymon comte de savoie",,,,"M"
431,"?","chapelain de la Comtesse (A6)","Chapelain de Bonne de Bourbon","Chapelain de Bonne de Bourbon","chapelain","Bonne de Bourbon",,,,"M"
405,"?","charpentier d'Annecy","charpentier d'Annecy","charpentier d'Annecy","charpentier",,,,,"M"
749,"?","chevalier anglais gardé à Arras","chevalier anglais gardé à Arras","chevalier anglais gardé à Arras","chevalier",,,,,"M"
186,"?","clerc de la chapelle d'A5","Clerc de la chapelle d'Amédée V","Clerc de la chapelle d'Amédée V","clerc de la chapelle","Amédée V",,,,"M"
835,"?","clerc de la Comtesse Yolande","Clerc de la comtesse Yolande","Clerc de la comtesse Yolande","clerc","Yolande comtesse de savoie",,,,"M"
826,"?","codurei juvanti","couturier juvanti","couturier juvanti","couturier",,,,"juvanti","M"
139,"?","conseil d' A5","Le conseil d'Amédée V","Le conseil d'Amédée V","conseiller","Amédée V",,,,"M"
119,"?","conseiller","Conseiller d'Amédée V","Conseiller d'Amédée V","conseiller","Amédée V",,,,"M"
179,"?","couturier","couturier","couturier","couturier",,,,,"M"
697,"?","cuisinier de Contesse Blanche","cuisinier de Blanche comtesse de Savoie","cuisinier de Blanche comtesse de Savoie","cuisinier","Blanche comtesse de Savoie",,,,"M"
67,"?","Damoiselle 1","Damoiselle 1","Damoiselle 1","damoiselle",,,,,"F"
68,"?","Damoiselle 2","Damoiselle 2","Damoiselle 2","damoiselle",,,,,"F"
69,"?","Damoiselle 3","Damoiselle 3","Damoiselle 3","damoiselle",,,,,"F"
703,"?","Damoiselle d'une fille d'Eduardi","Damoiselle de jehanne fille d'Édouard comte de Savoie","Damoiselle de jehanne fille d'Édouard comte de Savoie","damoiselle",,,,,"F"
83,"?","Damoiselle de Frevine de Groaria","Damoiselle de Frevine de Groaria","Damoiselle de Frevine de Groaria","damoiselle",,,,,"F"
477,"?","Damoiselles de Blanche soeur d'A6","Damoiselle de Blanche fille d'Aymon de Savoie","Damoiselle de Blanche fille d'Aymon de Savoie","damoiselle",,,,,"F"
692,"?","Damoiselles de Dame Beatrix soeur d'Eduardi","Damoiselle de Dame Beatrix fille d'Amédée V","Damoiselle de Dame Beatrix fille d'Amédée V","damoiselle","Béatrix de Savoie fille d'Amédée V",,,,"F"
