"CodeCommande","CodePFA","AProvenance","ANature","Type Parure","Nature Parure","Carac Parure","ALieuAchat","AQuantite","quantite","APrixUnitaire","prix unitaire","monnaie prix unitaire","APrixGlobal","prix global","monnaie prix global","AOccasion"
10,2,,"monnaie","inconnue","monnaie",,,,,,,,,,,"adoubement"
18,4,,"robe","vêtement","robe",,,1,1,,,,,,,
20,5,,"robe","vêtement","robe",,,1,1,,,,,,,
24,6,,"robe","vêtement","robe",,,1,1,,,,"108 S v","0 108 0","viennois",
28,7,,"garnache","extérieur","garnache",,"Lyon",1,1,,,,,,,
28,8,,"chausses","chausses","chausses",,"Lyon","plusieurs","plusieurs",,,,,,,
28,9,,"malecote","intérieur","malecotte",,"Lyon",2,2,,,,,,,
31,10,,"robe","vêtement","robe",,,1,1,,,,,,,"Donnée par la Dame Contesse."
35,11,,"paylliceri","inconnue","paylliceri",,,,,,,,"13l v","13 0 0","viennois",
45,12,,"tunique","intérieur","tunique",,,6,6,,,,,,,
52,13,,"cloche","extérieur","cloche",,,2,2,,,,,,,
58,14,,"couverture","mobilier","couverture",,,1,1,"22s v esp","0 22 0","viennois à l'éperon",,,,
65,15,,"robe","vêtement","robe",,,1,1,,,,"25l v esp","25 0 0","viennois à l'éperon",
67,16,,"robe","vêtement","robe",,,1,1,,,,"6l 19s 6d v esp","6 19 6","viennois à l'éperon","pour le voyage en Italie"
71,17,,"chausses","chausses","chausses",,,"6 paires",6,,,,,,,
71,18,,"tunique","intérieur","tunique",,,1,1,,,,,,,
76,19,,"voile","mobilier","voile",,"Lyon",13,13,,,,,,,
79,20,,"épingles","mercerie","épingle",,,2000,2000,,,,,,,
82,21,,"corde","mercerie","corde",,,"?",,,,,,,,"pour envelopper les achat de Lyon"
91,22,,"pelisse","extérieur","pelisse",,,2,2,,,,,,,
98,23,,"chaperon","tête","chaperon",,"Lyon","plusieurs","plusieurs",,,,,,,
106,24,,"tapisserie de drap  armes Savoies et Duc Autriche","mobilier","tapisserie","aux armes de Savoie et Autriche","Paris",8,8,,,,,,,"dans le prix on compte la façon"
106,25,,"courte pointe aux armes Savoie et Duc Autriche","mobilier","courtepointe","aux armes de Savoie et Autriche","Paris",2,2,,,,,,,"la façon est comptée dans le prix"
108,26,,"robe","vêtement","robe",,,1,1,"12L 12S v tur","12 12 0","viennois courant",,,,"donnée par A5"
137,27,,"robe","vêtement","robe",,,1,1,,,,"60S v","0 60 0","viennois","remerciment pour un travail fait dans les opera castri le comte lui donne l'argent pour cela"
152,28,,"couverture","mobilier","couverture",,"Chambéry",2,2,,,,,,,
162,29,,"passementerie","mercerie","passementerie",,,"?",,,,,,,,"commémoration de la mort du pére et du frére du comte 2"
173,30,,"gant","parure","gant",,"Lyon","2 paires",2,,,,"17D gt","0 0 17","gros tournois",
173,31,,"cirtellum pour la maison","parure","gant","pour la maison","Lyon","2 paires",2,,,,"4S 5D gt","0 4 5","gros tournois",
173,32,,"couvre-chef","tête","Couvre-chef",,,3,3,,,,"3S 3D gt","0 3 3","gros tournois",
175,33,,"fourrure à chaperon","fourrure","chaperon",,,1,1,,,,,,,
177,34,,"surceinte","parure","surceinte",,,1,1,,,,,,,"donné par la contesse 2"
177,35,,"bourse","mercerie","bourse",,,1,1,,,,,,,"donné par la contesse 2"
178,36,,"pelisse","extérieur","pelisse",,,"?",,,,,,,,
182,37,,"fourrure de chaperon","fourrure","chaperon",,,3,3,,,,,,,"treansport"
182,38,,"gipon","ajusté","gipon",,,1,1,,,,,,,"transport"
183,39,,"robe","vêtement","robe",,,1,1,,,,,,,
184,40,,"capitegium","tête","chapeau",,,"?",,,,,,,,
184,41,,"gorgerium","sous-vêtement","gorgière",,,"?",,,,,,,,
185,42,,"robe","vêtement","robe",,,"?",,,,,,,,
186,43,,"fourrure de chaperon écarlate","fourrure","chaperon",,"Chambéry",1,1,,,,,,,
187,44,,"robe","vêtement","robe",,,"?",,,,,,,,
187,45,,"robe partitée","vêtement","robe","partité","Chambéry",4,4,,,,,,,
200,46,,"robe","vêtement","robe",,"Avignon",1,1,,,,,,,"quand Petro est en mission en Avignon"
205,47,,"fourrure de chaperon","fourrure","chaperon",,,2,2,,,,,,,"livrée"
205,48,,"corset","intérieur","corset",,,2,2,,,,,,,"Livrée"
207,49,,"bourse brodée","mercerie","bourse","broderie",,9,9,,,,"11S 4D gt","0 11 4","gros tournois",
208,50,,"corset","intérieur","corset",,,1,1,,,,,,,
208,51,,"gorgerium","sous-vêtement","gorgière",,,"?",,,,,,,,
223,52,,"couvre-chef","tête","Couvre-chef",,"Chambéry",1,1,,,,,,,
224,53,,"pelisse","extérieur","pelisse",,,1,1,,,,,,,
225,54,,"vêtement","vêtement","vêtement",,"Lyon","?",,,,,,,,"le voyage est compris dans l'item"
226,55,,"couverture de cheval","mobilier","couverture","de cheval",,4,4,,,,"2S 11D gt","0 2 11","gros tournois",
229,56,,"capitegium","tête","chapeau",,,"?",,,,,,,,
229,57,,"gorgerium","sous-vêtement","gorgière",,,"?",,,,,,,,
230,58,,"doublure de chaperon","doublure","chaperon",,"Chambéry",3,3,,,,,,,
234,59,,"doublure de chaperon","doublure","chaperon",,"Chambéry",3,3,,,,,,,
257,60,,"vêtement","vêtement","vêtement",,,6,6,,,,,,,
260,61,,"las","mercerie","lacet",,"Chambéry","?",,,,,,,,
260,62,,"tresse","mercerie","tresse",,"Chambéry","?",,,,,,,,
263,63,,"malecote","intérieur","malecotte",,,1,1,"1FBP",1,"florin bon poids",,,,
273,64,,"doublure de chaperon","fourrure","chaperon",,,"2 2 de 30 ventres",2,"3S 9D gt",,,"7S 6D gt","0 7 6","gros tournois","livrée"
274,65,,"chausses","chausses","chausses",,,"?",,,,,"4D ob gt","0 0 4,5","gros tournois",
288,66,,"chausses","chausses","chausses",,"Pont d'Ain","?",,,,,"7D ob gt","0 0 7,5","gros tournois",
288,67,,"chausses","chausses","chausses",,"Pont d'Ain","?",,,,,"6D 1/3 gt","0 0 6,33","gros tournois",
290,68,,"pelisse","extérieur","pelisse",,,2,2,"6.5 FABP","6.5","florin d'or bon poids","13 FABP",,,
291,69,,"mitenar","parure","mitaine",,,"1 paire",1,,,,,,,
291,70,,"couvre-chef","tête","Couvre-chef",,,4,4,,,,,,,
300,71,,"chaperon","tête","chaperon",,,"4 de 30 ventres",4,"3S 6D ob gt","0 3 6,5","gros tournois","14S 2D gt","0 14 2","gros tournois","livrée d'Avignon"
300,72,,"chaperon","tête","chaperon",,,"5 de 24 ventres",5,"2S 9D gt","0 2 9","gros tournois","13S 9D gt","0 13 9","gros tournois","livrée d'Avignon"
304,73,,"ruban","mercerie","ruban",,,4,4,,,,,,,
304,74,,"ceinture","parure","ceinture",,,4,4,,,,,,,
312,75,,"chaperon","tête","chaperon",,,2,2,"2S 7D gt","0 2 7","gros tournois","5S 2D gt","0 5 2","gros tournois","livrée d'avignon"
314,76,,"chaperon","tête","chaperon",,,"1 de 24 ventres",1,"2S 7D gt","0 2 7","gros tournois","2S 7D gt","0 2 7","gros tournois",
376,77,,"fourrure de chaperon","fourrure","chaperon",,,"1 fourrure de 24 ventres",1,"?",,,"?",,,
384,78,,"gipon","ajusté","gipon",,,"plusieurs","plusieurs",,,,,,,
384,79,,"arnesus","militaire","arnais",,,"plusieurs","plusieurs",,,,,,,
391,80,,"chausses","chausses","chausses",,,"3 paires",3,,,,,,,
391,81,,"fourrure de chaperon","fourrure","chaperon",,,1,1,,,,,,,
397,82,,"écusson aux armes du Seigneur Bellioci","autre","écusson","aux armes de Bellioci",,"?",,,,,,,,
400,83,,"écusson aux armes du Seigneur Bellioci","autre","écusson","aux armes de Bellioci",,14,14,,,,"2FBP",2,"florin bon poids",
403,84,,"robe","vêtement","robe",,"Genève","?",,,,,,,,
404,85,,"robe","vêtement","robe",,,"?",,,,,"210L 5S v","210 5 0","viennois",
410,86,,"gorgerium","sous-vêtement","gorgière",,"Lyon",6,6,,,,,,,
410,87,,"chapelet","mercerie","chapelet",,"Lyon",6,6,,,,,,,
413,88,,"scotie","inconnue","scotie",,"Londres",,,,,,,,,
416,89,,"bourse","mercerie","bourse",,,24,24,,,,,,,
433,90,,"couverture de cheval","cheval","couverture","de cheval",,12,12,,,,,,,
439,91,,"fourrure de chaperon","fourrure","chaperon",,,"?",,,,,"60S","0 60 0","inconnu",
442,92,,"fourrure de mantel","fourrure","mantel",,,1,1,"7L",,,,,,"adoubement"
443,93,,"camisius","sous-vêtement","chemise",,,1,1,,,,,,,
443,94,,"braies","sous-vêtement","braies",,,2,2,,,,,,,
453,95,,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,"adoubement"
467,96,,"fourrure de chaperon","fourrure","chaperon",,,24,24,,,,"30L","30 0 0","inconnu",
468,97,,"pelisse","extérieur","pelisse",,,2,2,,,,"16L tur","16 0 0","tournois",
468,98,,"fourrure de chaperon","fourrure","chaperon",,,1,1,"12S 6D tur","0 12 6","tournous","12S 6D tur","0 12 6","tournois",
469,99,,"couvre-chef doublé de cendal","tête","Couvre-chef","doublé",,,,,,,,,,
473,100,,"malecote","intérieur","malecotte",,,1,1,,,,"46S","0 46 0","inconnu",
477,101,,"fourrure de chaperon","fourrure","chaperon",,,6,6,"16S","0 16 0","inconnu","4L 16S","4 16 0","inconnu",
485,102,,"furrure de chaperon","fourrure","chaperon",,,7,7,,,,,,,
508,103,,"pelisse","extérieur","pelisse",,,"1 de 200 ventres",1,"24L","24 0 0","inconnu",,,,
509,104,,"fourrure de surcot","fourrure","surcot",,,1,1,,,,,,,
509,105,,"fourrure de chaperon","fourrure","chaperon",,,1,1,,,,,,,
511,106,,"fourrure de chaperon","fourrure","chaperon",,,1,1,,,,,,,
514,107,,"fourrure de chaperon","fourrure","chaperon",,,1,1,"4L","4 0 0","inconnu","4L","4 0 0","inconnu",
516,108,,"chaperon","tête","chaperon",,,1,1,"4L","4 0 0","inconnu",,,,
518,109,,"fourrure de chaperon","fourrure","chaperon",,,"1 furratura de 4 tires",1,"48S","0 48 0","inconnu","48S","0 48 0","inconnu",
528,110,,"couvre-chef","tête","Couvre-chef",,,1,1,"8S","0 8 0","inconnu","8S","0 8 0","inconnu",
538,111,,"fourrure de chaperon","fourrure","chaperon",,,1,1,"4L parisis","4 0 0","parisis","4L parisis","4 0 0","parisis",
539,112,,"pelisse","extérieur","pelisse",,,1,1,,,,,,,
543,113,,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
544,114,,"robe","doublure","robe",,"pont de Veyle",1,1,,,,"6L parv tur","6 0 0","petit tournois",
548,115,,"chaperon","tête","chaperon",,,1,1,,,,,,,
562,116,,"couverture pointée","mobilier","courtepointe",,,1,1,,,,"42L tur","42 0 0","tournois",
564,117,,"robe","vêtement","robe",,,1,1,,,,,,,
589,118,,"las","mercerie","lacet",,,1,1,"8D parisis","0 0 8","parisis","8D parisis","0 0 8","parisis",
609,119,,"couvre-chef","tête","Couvre-chef",,,1,1,"16S parisis","0 16 0","parisis","16S parisis","0 16 0","parisis",
626,120,,"couverture","mobilier","couverture",,,1,1,"26L","26 0 0","inconnu","26L","26 0 0","inconnu",
627,121,,"couverture petite","mobilier","couverture","petit",,1,1,"13L parisis","13 0 0","parisis","13L parisis","13 0 0","parisis",
628,122,,"couverture","mobilier","couverture",,,1,1,"30L parisis","30 0 0","parisis","30L parisis","30 0 0","parisis",
629,123,,"couverture","mobilier","couverture",,,1,1,"?",,,,,,
