"CodeCommande","CodePFF","FNature","Type Parure","Nature Parure","Carac Parure","FLieuAchat","FQuantite","quantite","FPrixUnitaire","prix unitaire","monnaie prix unitaire","FPrixGlobal","prix global","monnaie prix global","FOccasion"
11,5,"robe","vêtement","robe",,,1,1,,,,"10 L v","10 0 0","viennois",
12,6,"robe","vêtement","robe",,,1,1,,,,"100 S v","0 100 0","viennois",
13,7,"robe","vêtement","robe",,,1,1,,,,"100 S v","0 100 0","viennois",
14,8,"robe","vêtement","robe",,,1,1,,,,"100 S v","0 100 0","viennois",
17,9,"robe","vêtement","robe",,,1,1,"4 L 10 S","4 10 0","inconnu","4 L 10 S","4 10 0","inconnu",
21,10,"robe","vêtement","robe",,,1,1,,,,,,,
25,11,"robe","vêtement","robe",,,1,1,,,,,,,
26,12,"cote","intérieur","cotte",,"Chambéry",1,1,,,,,,,
26,13,"pourpoint","ajusté","pourpoint",,"Chambéry",1,1,,,,,,,
29,14,"couverture piquée","mobilier","couverture","piquée",,1,1,,,,,,,
29,15,"d'autres choses","inconnue","inconnue",,,,,,,,,,,
36,16,"pelisse","extérieur","pelisse",,"Chambéry",4,4,,,,,,,
39,17,"corset","intérieur","corset",,,3,3,,,,,,,
44,21,"robe","vêtement","robe",,,1,1,,,,,,,"le prix de la couture compte avec 8 autres robes"
45,18,"corset","intérieur","corset",,,1,1,,,,,,,"serge,cendal doublure et à partager avec filles"
46,19,"robe","vêtement","robe",,,"plusieurs (3?)",3,,,,,,,
47,20,"gipon","ajusté","gipon",,,3,3,,,,,,,
50,22,"garnement","vêtement","garnement",,,47,47,,,,,,,"soie cendal fil..menus objets pour la couture."
51,23,"surcot","intérieur","surcot",,,"plusieurs","plusieurs",,,,,,,
52,24,"cloche","extérieur","cloche",,,1,1,,,,,,,"le mètrage vaut aussi pour le surcot"
52,25,"surcot","intérieur","surcot",,,1,1,,,,,,,"le métrage vaux aussi pour la cloche."
52,26,"corset","intérieur","corset",,,3,3,,,,,,,
52,27,"corset","intérieur","corset",,,3,3,,,,,,,
52,28,"robe","vêtement","robe",,,6,6,,,,,,,"livrée"
53,29,"robe à trois garnements","vêtement","robe","trois garnements",,1,1,,,,,,,"livrée"
53,30,"robe","vêtement","robe",,,1,1,,,,,,,"livrée"
53,31,"robe","vêtement","robe",,,2,2,,,,,,,"livrée"
53,32,"robe","vêtement","robe",,,2,2,,,,,,,"livrée"
53,33,"robe","vêtement","robe",,,1,1,,,,,,,"livrée"
54,34,"robe","vêtement","robe",,,1,1,,,,,,,
55,35,"garnache","extérieur","garnache",,,1,1,,,,,,,
59,36,"robe","vêtement","robe",,,"plusieurs","plusieurs",,,,,,,
60,37,"doublure de chaperon","doublure","chaperon",,,"plusieurs","plusieurs",,,,,,,"ramenées par A5 pour les chevaliers qui n'iront pas en Italie avec la comtesse"
63,38,"couverture","mobilier","couverture",,,1,1,,,,,,,
68,39,"cloche","extérieur","cloche",,,"plusieurs","plusieurs",,,,,,,"partent en mission en Italie"
71,40,"linteamentum","mobilier","linteamenta",,,"plusieurs","plusieurs",,,,,,,
71,41,"camisius","sous-vêtement","chemise",,,"plusieurs","plusieurs",,,,,,,
72,43,"robe","vêtement","robe",,,1,1,,,,,,,
73,44,"linteamentum","mobilier","linteamenta",,,,,,,,,,,
74,46,"coussin","mobilier","coussin",,,"plusieurs","plusieurs",,,,,,,
75,47,"chaperon","tête","chaperon",,,1,1,,,,,,,
80,48,"coussin","mobilier","coussin",,,"plusieurs","plusieurs",,,,,,,
83,49,"robe à trois garnements","vêtement","robe","trois garnements",,2,2,,,,,,,
84,50,"cape","extérieur","cape",,,2,2,,,,,,,
85,51,"robe","intérieur","robe",,,1,1,,,,,,,
86,52,"cloche","extérieur","cloche",,,1,1,,,,,,,
89,54,"doublure de robe","doublure","robe",,,1,1,,,,,,,
91,55,"doublure de corset","doublure","corset",,,"plusieurs","plusieurs",,,,,,,
92,56,"robe","vêtement","robe",,,"plusieurs","plusieurs",,,,,,,
92,57,"chausses","chausses","chausses",,,"plusieurs paires","plusieurs",,,,,,,
92,58,"robe","vêtement","robe",,,2,2,,,,,,,
92,59,"robe","vêtement","robe",,,1,1,,,,,,,
92,60,"robe","vêtement","robe",,,3,3,,,,,,,
92,61,"robe","vêtement","robe",,,1,1,,,,,,,
94,62,"doublure de robe","doublure","robe",,,1,1,,,,,,,"pour un robe d'ecarlate punatia"
98,63,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,"pour une cape"
99,64,"robe","vêtement","robe",,,"plusieurs","plusieurs",,,,,,,"livrée de carême 1314"
100,65,"robe","vêtement","robe",,,2,2,,,,,,,
101,66,"robe partitée","vêtement","robe","partité",,"?",,,,,,,,"livrée des écuyers d' A5"
104,67,"robe","vêtement","robe",,,"?",,,,,,,,"livrée"
104,68,"robe partitée","vêtement","robe","partité",,"?",,,,,,,,"livrée"
104,69,"robe","vêtement","robe",,,1,1,,,,,,,
106,70,"selle","cheval","selle",,,1,1,,,,,,,"mariage avec le duc d'autriche"
106,71,"selle","cheval","selle",,,1,1,,,,,,,"mariage avec le duc d'autriche"
107,72,"malecote","intérieur","malecotte",,,1,1,,,,,,,
107,73,"cloche","extérieur","cloche",,,1,1,,,,"pas achat de tissu seulement tonte",,,
107,74,"doublure de cloche","doublure","cloche",,,1,1,,,,"as achat de tissu seulement tonte",,,"L'azur sert aussi pour la male cote"
107,75,"doublure de malecote","doublure","malecotte",,,1,1,,,,"pas achat de tissu seulement tonte",,,"azur sert aussi pour la cloche"
112,76,"chemise d'arbalétes","emballage","sac","arbalète",,3,3,,,,,,,
113,77,"robe","vêtement","robe",,,"plusieurs","plusieurs",,,,,,,"sans doute mariage"
116,78,"doublure de robe","doublure","robe",,,"?",,,,,,,,
117,79,"bouton","mercerie","bouton",,,72,72,,,,,,,
118,80,"robe","vêtement","robe",,,,,,,,,,,"livrée par A5 quand il va en Allemagne"
120,81,"cape lombarde","extérieur","cape","lombarde","Bresse","plusieurs","plusieurs",,,,,,,"le voyage de l'intermediaire est compté dans le prix"
121,82,"robe","vêtement","robe",,,1,1,,,,,,,
122,83,"chemise d'arbalète","emballage","sac","arbalète",,68,68,,,,,,,
123,84,"corset d'été","intérieur","corset","d'été",,"?",,,,,,,,
125,85,"robe","vêtement","robe",,,"2?",2,,,,,,,"complemeent de livrée"
125,86,"chausses","chausses","chausses",,,"?",,,,,,,,
126,87,"doublure de corset","doublure","corset",,,"?",,,,,,,,"doublure pour corset item 4 1315.1316"
128,88,"tunique","intérieur","tunique",,,1,1,,,,,,,"étrennes"
128,89,"cape","extérieur","cape",,,1,1,,,,,,,"étrennes"
129,90,"robe","vêtement","robe",,,"?",,,,,,,,
131,91,"robe","vêtement","robe",,,"?",,,,,,,,"cet achar compléte les fourrures ramené de paris par le comte qui n'etaient pas suffisantes"
132,92,"robe","vêtement","robe",,,"4?",4,,,,,,,
133,93,"robe","vêtement","robe",,,"?",,,,,,,,"completer la livrée"
134,94,"robe","vêtement","robe",,,3,3,,,,,,,"complément à la livrée"
134,95,"robe","vêtement","robe",,,"?",,,,,,,,"complément à la livrée"
136,96,"fourrure de robe","fourrure","robe",,,2,2,,,,,,,
139,97,"robe","vêtement","robe",,,1,1,,,,,,,"pour son voyage en Italie"
139,98,"robe","vêtement","robe",,,1,1,,,,,,,
139,99,"robe","vêtement","robe",,,2,2,,,,,,,
139,100,"corset","intérieur","corset",,,1,1,,,,,,,
140,101,"robe","vêtement","robe",,,1,1,,,,,,,
141,102,"robe de trois garnements","vêtement","robe","trois garnements",,4,4,,,,,,,"sert aussi pour le corset"
141,103,"corset","intérieur","corset",,,1,1,,,,,,,"sert aussi pour les 4 robes"
143,104,"robe","vêtement","robe",,,4,4,,,,,,,"livrée envoyéà Yppong...?"
145,105,"doublure de corset","doublure","corset",,,1,1,,,,,,,"doublure du corset item 19 1317.1318"
146,106,"doublure de robe de trois garnements","doublure","robe","trois garnements",,3,3,,,,,,,"pour des robes de sarges"
147,107,"cloche","extérieur","cloche",,,2,2,,,,,,,
148,111,"robe","vêtement","robe",,,"?",,,,,,,,"livrée"
149,108,"robe","vêtement","robe",,,"?",,,,,,,,"livrée"
152,109,"doublure de corset","doublure","corset",,,2,2,,,,,,,
153,110,"doublure de robe","doublure","robe",,,"?",,,,,,,,"livrée,double les robes de sorcia it 13 1317.1318"
154,112,"manteau à chevaucher","extérieur","mantel","à chevaucher",,1,1,,,,,,,
155,113,"chausses","chausses","chausses",,,"?",,,,,,,,
156,114,"robe","vêtement","robe",,,1,1,,,,,,,
156,115,"couverture de palfroid","cheval","couverture","de cheval",,1,1,,,,,,,
156,116,"couverture armée","mobilier","couverture","aux armes",,1,1,,,,,,,
156,117,"robe","vêtement","robe",,,2,2,,,,,,,
156,118,"robe","vêtement","robe",,,1,1,,,,,,,"livrée"
156,119,"?","inconnue","inconnue",,,2,2,,,,,,,
156,120,"cape","extérieur","cape",,,1,1,,,,,,,
156,121,"malecote","intérieur","malecotte",,,1,1,,,,,,,
156,122,"robe","vêtement","robe",,,2,2,,,,,,,
158,123,"tunique","intérieur","tunique",,,"?",,,,,,,,
159,124,"mantel","extérieur","mantel",,,2,2,,,,,,,
161,125,"robe","vêtement","robe",,,"?",,,,,,,,
165,126,"couverture de cheval","cheval","couverture","de cheval",,8,8,,,,,,,"dépences de l'hôtel"
165,127,"écusson","autre","écusson",,,44,44,,,,,,,"dépences de l'hôtel"
167,128,"cote piquée","militaire","cotte","piquée","Chambéry",1,1,,,,,,,
167,129,"pourpoint","ajusté","pourpoint",,"Chambéry",1,1,,,,,,,
169,130,"robe","vêtement","robe",,,"?",,,,,,,,"pou la couture la tonte et les parements de fourrures"
172,131,"ruban","mercerie","ruban",,,6,6,,,,,,,
174,132,"robe","vêtement","robe",,,1,1,,,,,,,"donnée par C2"
175,133,"corset ouvert","intérieur","corset","ouvert",,1,1,,,,,,,"pennis utilisées pour corset ouvert et l'autre"
175,134,"corset","intérieur","corset",,,1,1,,,,,,,"pennis utilisées pour corset ouvert et l'autre"
178,136,"robe","vêtement","robe",,,"?",,,,,,,,
178,137,"coussin","mobilier","coussin",,,"?",,,,,,,,
186,138,"couverture","mobilier","couverture",,,2,2,,,,,,,
194,139,"robe","vêtement","robe",,,1,1,,,,,,,"joffredi va en France"
198,140,"doublure de couverture","doublure","couverture",,,1,1,,,,,,,
199,141,"doublure de couverture armeanda","doublure","couverture","aux armes",,1,1,,,,,,,
201,142,"robe","vêtement","robe",,,4,4,,,,,,,"confection comptée dans le prix"
206,143,"surcot","intérieur","surcot",,,1,1,,,,,,,
209,144,"courte pointe","mobilier","courtepointe",,,1,1,,,,,,,
210,145,"couverture armeata de cheval","cheval","couverture","de cheval aux armes",,1,1,,,,,,,
212,146,"corset","intérieur","corset",,,1,1,,,,,,,
213,147,"corset ouvert","intérieur","corset","ouvert",,1,1,,,,,,,"le px est pour la façon du corset et du chaperon"
213,148,"chaperon","tête","chaperon",,,1,1,,,,,,,"le px est pour la façon du corset et du chaperon"
214,149,"lanterne pour la chambre du comte à Chambéry","mobilier","lanterne",,,"?",,,,,,,,
217,150,"doublure de robe à quatre garnements","vêtement","robe","quatre garnements",,4,4,,,,,,,"fête de la nativité"
217,151,"robe","vêtement","robe",,,"?",,,,,,,,"fête de la nativité"
220,152,"robe","vêtement","robe",,,2,2,,,,,,,"la façon n'est pas compté dans le px de l'item"
221,153,"robe","vêtement","robe",,,1,1,,,,,,,"donnée par la comtesse"
224,154,"garniture de malecote","doublure","malecotte",,,1,1,,,,,,,
224,155,"chaperon","tête","chaperon",,,1,1,,,,,,,
226,157,"couverture de cheval","cheval","couverture","de cheval",,4,4,,,,,,,
227,156,"linteamentum","mobilier","linteamenta",,,"?",,,,,,,,
228,158,"cote","intérieur","cotte",,,2,2,,,,,,,
230,159,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour les chausses"
230,160,"chausses","chausses","chausses",,,"?",,,,,,,,"sert aussi pour la cote"
230,161,"chausses","chausses","chausses",,,"1 paire",1,,,,,,,
230,162,"corset","intérieur","corset",,,1,1,,,,,,,
231,163,"robe","vêtement","robe",,,1,1,,,,,,,
232,164,"robe","vêtement","robe",,,"?",,,,,,,,
233,165,"robe","vêtement","robe",,,2,2,,,,,,,"l'anonce d'un message venant de Lode Castri"
233,166,"cote","vêtement","robe",,,1,1,,,,,,,"sert aussi pour le mantel"
233,167,"mantel","extérieur","mantel",,,1,1,,,,,,,"sert aussi pour la cote"
233,168,"doublure de mantel","extérieur","mantel","double",,1,1,,,,,,,
233,169,"robe","vêtement","robe",,,6,6,,,,,,,
234,170,"garniture de corset","doublure","corset",,,1,1,,,,,,,
234,171,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert pour corset et chaperon"
235,172,"un corset per pedem,","intérieur","corset","jusqu'aux pieds",,1,1,,,,,,,
242,173,"gipon","ajusté","gipon",,,2,2,,,,,,,
243,174,"gipon","ajusté","gipon",,,2,2,,,,,,,
244,175,"parement et garniture","mercerie","mercerie",,,"?",,,,,,,,
251,176,"bourse","parure","bourse",,,"?",,,,,,,,
251,177,"coiffe","tête","coiffe",,,"?",,,,,,,,
251,178,"gorgerium","sous-vêtement","gorgière",,,"?",,,,,,,,
257,179,"veste","vêtement","veste",,,4,4,,,,,,,
258,180,"robe","vêtement","robe",,,1,1,"2FBP",,,,,,
259,181,"robe entière","vêtement","robe","entière",,1,1,,,,,,,
266,182,"corset à chevaucher","intérieur","corset","à chevaucher",,1,1,,,,,,,
266,183,"doublure de corset","doublure","corset",,,1,1,,,,,,,
266,184,"malecote","intérieur","malecotte",,,2,2,,,,,,,
266,185,"cote","intérieur","cotte",,,1,1,,,,,,,
266,186,"blanchet","sous-vêtement","blanchet",,,1,1,,,,,,,
266,187,"robe","vêtement","robe",,,2,2,,,,,,,
266,188,"robe à parer bonne","vêtement","robe","à parer",,1,1,,,,,,,
267,189,"malecote","intérieur","malecotte",,,2,2,,,,,,,
267,190,"chaperon","tête","chaperon",,,2,2,,,,,,,
267,191,"chausses","chausses","chausses",,,"4 paires",4,,,,,,,
267,192,"malecote","intérieur","malecotte",,,1,1,,,,,,,
267,193,"robe","vêtement","robe",,,1,1,,,,,,,
267,194,"chausses","chausses","chausses",,,"?",,,,,,,,
270,195,"doublure de chaperon","doublure","chaperon",,,"1?",1,,,,,,,
270,196,"chaperon doublé","tête","chaperon","doublé",,,,,,,,,,
272,197,"mantel double","extérieur","mantel","double",,2,2,,,,,,,
274,198,"cote","intérieur","cotte",,,1,1,,,,,,,
275,199,"cote","intérieur","cotte",,,1,1,,,,,,,"sert pour les chausses et le chaperon"
275,200,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert pour la cote et les chausses"
275,201,"chausses","chausses","chausses",,,"1 paire",1,,,,,,,"sert aussi pour le chaperon et la cote"
276,202,"doublure de manteau","doublure","mantel",,,2,2,,,,,,,
276,203,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,
277,204,"chausses","chausses","chausses",,,"?",,,,,,,,
278,205,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
279,206,"doublure de chaperon blanc","doublure","chaperon",,,1,1,,,,,,,
280,207,"malecote","intérieur","malecotte",,,3,3,,,,,,,
280,208,"cote","intérieur","cotte",,,1,1,,,,,,,
281,209,"mantel double","extérieur","mantel","double",,1,1,,,,,,,
283,210,"mantel","intérieur","mantel",,,1,1,,,,,,,
285,211,"robe","vêtement","robe",,,1,1,,,,,,,
285,212,"robe","vêtement","robe",,,1,1,,,,,,,
286,213,"chausses","chausses","chausses",,,"?",,,,,,,,
288,214,"malecote","intérieur","malecotte",,,1,1,,,,,,,
288,215,"mantel double","vêtement","mantel","double",,1,1,,,,,,,
288,216,"chausses","chausses","chausses",,,"?",,,,,,,,
294,217,"chausses","chausses","chausses",,,"3 paires",3,,,,,,,"2 pour A6"
295,218,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
296,219,"couverture de cheval","cheval","couverture","de cheval",,1,1,,,,,,,
297,220,"chausses","chausses","chausses",,,"?",,,,,,,,
298,221,"robe","vêtement","robe",,,1,1,,,,,,,
298,222,"robe","vêtement","robe",,,2,2,,,,,,,
298,223,"corset","intérieur","corset",,,"?",,,,,,,,
305,224,"corset","intérieur","corset",,,1,1,,,,,,,
305,225,"chaperon","tête","chaperon",,,1,1,,,,,,,
305,226,"corset","intérieur","corset",,,1,1,,,,,,,
305,227,"chaperon","tête","chaperon",,,1,1,,,,,,,
306,228,"corset","intérieur","corset",,,1,1,,,,,,,
306,229,"chaperon","tête","chaperon",,,1,1,,,,,,,
308,230,"corset","intérieur","corset",,,3,3,,,,,,,
308,231,"chausses","chausses","chausses",,,"?",,,,,,,,
309,232,"cote","intérieur","cotte",,,1,1,,,,,,,
309,233,"chaperon","tête","chaperon",,,1,1,,,,,,,
311,234,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
313,235,"couverture","mobilier","couverture",,,1,1,,,,,,,
313,236,"doublure de couverture","doublure","couverture",,,1,1,,,,,,,
314,237,"robe","vêtement","robe",,,1,1,,,,,,,
315,238,"chausses","chausses","chausses",,,"3 paires",3,,,,,,,"dont 2 pour A6"
315,239,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour le chaperon"
316,240,"cote","intérieur","cotte",,,1,1,,,,,,,"set aussi pour le chaperon et le manteau doublé"
316,241,"mantel double","extérieur","mantel","double",,1,1,,,,,,,"sert aussi pour la cote et le chaperon"
316,242,"chaperon","tête","chaperon",,,1,1,,,,,,,"set aussi pour la cote et le manteau doublé"
317,243,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
318,244,"robe courte","vêtement","robe","court",,1,1,,,,,,,
318,245,"malecote","intérieur","malecotte",,,2,2,,,,,,,
318,246,"gonelle","intérieur","gonelle",,,1,1,,,,,,,
318,247,"blanchet","sous-vêtement","blanchet",,,1,1,,,,,,,
318,248,"mantel double","extérieur","mantel","double",,1,1,,,,,,,
318,249,"cote","intérieur","cotte",,,1,1,,,,,,,
319,250,"corset à chevaucher","intérieur","corset","à chevaucher",,1,1,,,,,,,
319,251,"robe courte à parer","vêtement","robe","court à parer",,1,1,,,,,,,
319,252,"doublure de corset à chevaucher","doublure","corset","à chevaucher",,1,1,,,,,,,
319,253,"cote","intérieur","cotte",,,1,1,,,,,,,
319,254,"cote","intérieur","cotte",,,1,1,,,,,,,
319,255,"cote","intérieur","cotte",,,1,1,,,,,,,
320,256,"robe","vêtement","robe",,,2,2,,,,,,,"parce qu'ils ont réalise la grande salles du bourget"
320,257,"cote","intérieur","cotte",,,2,2,,,,,,,
320,258,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
320,259,"doublure de manteaux","doublure","mantel",,,1,1,,,,,,,
320,260,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
320,261,"doublure de manteau","doublure","mantel",,,1,1,,,,,,,
320,262,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,
320,263,"chausses","chausses","chausses",,,"4 paires",4,,,,,,,
320,264,"cote","intérieur","cotte",,,1,1,,,,,,,
320,265,"chaperon","tête","chaperon",,,1,1,,,,,,,
322,266,"cote","intérieur","cotte",,,"?",,,,,,,,
322,267,"cote partitée","intérieur","cotte","partité",,"?",,,,,,,,
322,268,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
322,269,"cote","intérieur","cotte",,,"?",,,,,,,,
323,270,"courtine","mobilier","coutine",,,,,,,,,,,
323,271,"cote","intérieur","cotte",,,1,1,,,,,,,
323,272,"cote","intérieur","cotte",,,1,1,,,,,,,
323,273,"cote partitée","intérieur","cotte","partité",,4,4,,,,,,,
323,274,"doublure de mantel","doublure","mantel",,,2,2,,,,,,,
323,275,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,
323,276,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
323,277,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
323,278,"cote","intérieur","cotte",,,2,2,,,,,,,
323,279,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
323,280,"cote","intérieur","cotte",,,2,2,,,,,,,"sert pour la cote et le mantel"
323,281,"mantel","extérieur","mantel",,,2,2,,,,,,,"sert pour cote et mantel"
324,282,"manionibus pro pelicionis","sous-vêtement","pellisson",,,,,,,,,,,
325,283,"mantel","extérieur","mantel",,,1,1,,,,,,,
327,284,"blanchet","sous-vêtement","blanchet",,,1,1,,,,,,,"sert pour chausse et cote"
327,285,"chausses","chausses","chausses",,,"?",,,,,,,,"sert pour cote et blanchet"
327,286,"cote","intérieur","cotte",,,1,1,,,,,,,"sert pour chausses et blanchet"
328,287,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
328,288,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
328,289,"broderie sur gipon","broderie","broderie",,,"?",,,,,,,,
328,290,"mantel double","extérieur","mantel","double",,2,2,,,,,,,
329,291,"cote","intérieur","cotte",,,1,1,,,,,,,
329,292,"chaperon","tête","chaperon",,,1,1,,,,,,,
329,293,"chausses","chausses","chausses",,,"?",,,,,,,,
329,294,"chausses","chausses","chausses",,,"?",,,,,,,,
330,295,"doublure de chaperon","doublure","chaperon",,,1,1,,,,,,,
332,296,"cote","intérieur","cotte",,,2,2,,,,,,,"sert aussi pour 2 chaperons"
332,297,"chaperon","tête","chaperon",,,2,2,,,,,,,"sert aussi pour 2 cotes"
332,298,"doublure de chaperon","doublure","chaperon",,,2,2,,,,,,,"sert aussi pour des chausses"
332,299,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,"sert aussi pour 2 doublures de chaperons"
333,300,"cote","intérieur","cotte",,,1,1,,,,,,,
333,301,"cote","intérieur","cotte",,,2,2,,,,,,,
335,302,"chausses","chausses","chausses",,,"4 paires",4,,,,,,,
338,303,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour chaperon"
338,304,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert pour cote"
339,305,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
340,306,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour chaperon"
340,307,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert aussi pour la cote"
341,308,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
342,309,"cote","intérieur","cotte",,,1,1,,,,,,,
342,310,"chaperon","tête","chaperon",,,1,1,,,,,,,
343,311,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
344,312,"cote","intérieur","cotte",,,1,1,,,,,,,"sert aussi pour le chaperon"
344,313,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert aussi pour la cote"
344,314,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
347,315,"chausses","chausses","chausses",,,"2 paires",2,,,,,,,
348,316,"robe de trois garnements","vêtement","robe","trois garnements",,1,1,,,,,,,
348,317,"doublure de mantel","doublure","mantel",,,1,1,,,,,,,"sert aussi pour malecote"
348,318,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert aussi pour la doublure de mantel"
348,319,"robe","vêtement","robe",,,1,1,,,,,,,
348,320,"corset","intérieur","corset",,,2,2,,,,,,,
349,321,"robe","vêtement","robe",,,1,1,,,,,,,
354,322,"robe","vêtement","robe",,,2,2,,,,,,,
354,323,"gonelle","intérieur","gonelle",,,1,1,,,,,,,"sert aussi pour des chausses"
354,324,"chausses","chausses","chausses",,,"?",,,,,,,,"sert aussi pour une gonelle"
354,325,"corset","intérieur","corset",,,1,1,,,,,,,"sert aussi pour chaperon et chausses"
354,326,"chausses","chausses","chausses",,,"?",,,,,,,,"sert aussi pour le corset et le chaperon"
354,327,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert aussi pour les chausses et le corset"
355,328,"mantel","extérieur","mantel",,,1,1,,,,,,,
361,329,"chaperon","tête","chaperon",,,1,1,,,,,,,
367,330,"robe","vêtement","robe",,,2,2,,,,,,,
367,331,"malecote","intérieur","malecotte",,,4,4,,,,,,,"sert aussi pour chaperons"
367,332,"chaperon","tête","chaperon",,,4,4,,,,,,,"sert aussi pour la malecote"
369,333,"cote","intérieur","malecotte",,,2,2,,,,,,,"sert pour 2cotes mantel 1 chaperonet en chaperon doublé des chausses"
369,334,"mantel","extérieur","mantel",,,1,1,,,,,,,"2 cotes mantel 1 chaperonet un chaperon doublé des chausses"
369,335,"chaperon doublé","tête","chaperon","doublé",,1,1,,,,,,,"2 cotes mantel 1 chaperonet un chaperon doublé des chausses"
369,336,"chaperon","tête","chaperon",,,1,1,,,,,,,"2 cotes mantel 1 chaperonet un chaperon doublé des chausses"
369,337,"chausses","chausses","chausses",,,"?",,,,,,,,"2 cotes mantel 1 chaperonet un chaperon doublé des chausses"
370,338,"cote","intérieur","cotte",,,1,1,,,,,,,"sert pour cote et chaperon doublé"
370,339,"chaperon doublé","tête","chaperon","doublé",,1,1,,,,,,,"sert pour cote et chaperon doublé"
372,340,"malecote","intérieur","malecotte",,,1,1,,,,,,,"sert pour malecote et chaperon"
372,341,"chaperon","tête","chaperon",,,1,1,,,,,,,"sert pour malecote et chaperon"
377,342,"robe","vêtement","robe",,,1,1,,,,,,,
382,343,"couverture d'arbalète","emballage","sac","arbalète",,"?",,,,,,,,
382,344,"robe","vêtement","robe",,,1,1,,,,,,,
391,345,"robe","vêtement","robe",,,1,1,,,,,,,
392,346,"robe","vêtement","robe",,,7,7,,,,,,,
394,347,"robe entière","vêtement","robe","entière",,1,1,,,,,,,
395,348,"robe","vêtement","robe",,,3,3,,,,,,,
396,349,"robe","vêtement","robe",,,1,1,,,,,,,
406,350,"robe","vêtement","robe",,,1,1,,,,,,,
407,351,"doublure de chaperon de velours","doublure","chaperon",,,1,1,,,,,,,
